# {InputWorkspace: 150K_Td_mesh_P19	 P1Bin: -2.05,-1.95	 P2Bin: -0.05,0.05	 P3Bin: -2,0,2	 P4Bin: 	 P5Bin: 	 OutputWorkspace: 150K_Td_mesh_P19_cut_-20L }
# [0,0,L] in 0.447 A^-1	 Signal	 Error
-1.98974	-nan	-nan
-1.96923	-nan	-nan
-1.94872	-nan	-nan
-1.92821	-nan	-nan
-1.90769	-nan	-nan
-1.88718	-nan	-nan
-1.86667	-nan	-nan
-1.84615	-nan	-nan
-1.82564	-nan	-nan
-1.80513	-nan	-nan
-1.78462	-nan	-nan
-1.7641	-nan	-nan
-1.74359	-nan	-nan
-1.72308	-nan	-nan
-1.70256	-nan	-nan
-1.68205	-nan	-nan
-1.66154	-nan	-nan
-1.64103	-nan	-nan
-1.62051	-nan	-nan
-1.6	-nan	-nan
-1.57949	-nan	-nan
-1.55897	-nan	-nan
-1.53846	-nan	-nan
-1.51795	-nan	-nan
-1.49744	-nan	-nan
-1.47692	-nan	-nan
-1.45641	-nan	-nan
-1.4359	-nan	-nan
-1.41538	-nan	-nan
-1.39487	-nan	-nan
-1.37436	-nan	-nan
-1.35385	-nan	-nan
-1.33333	-nan	-nan
-1.31282	-nan	-nan
-1.29231	-nan	-nan
-1.27179	-nan	-nan
-1.25128	-nan	-nan
-1.23077	-nan	-nan
-1.21026	-nan	-nan
-1.18974	7.72069e-05	5.95979e-06
-1.16923	7.93323e-05	6.05433e-06
-1.14872	9.25949e-05	6.56555e-06
-1.12821	9.39229e-05	6.58797e-06
-1.10769	0.000100983	6.8212e-06
-1.08718	0.000106982	7.03377e-06
-1.06667	0.000111375	7.13509e-06
-1.04615	0.000115933	7.27823e-06
-1.02564	0.000121135	7.46615e-06
-1.00513	0.000119672	7.34025e-06
-0.984615	0.000118299	7.29588e-06
-0.964103	0.000112515	7.08125e-06
-0.94359	0.000112263	7.08206e-06
-0.923077	0.000117442	7.25392e-06
-0.902564	0.000112574	7.04607e-06
-0.882051	0.000102929	6.69706e-06
-0.861538	9.27984e-05	6.31842e-06
-0.841026	9.30757e-05	6.36976e-06
-0.820513	8.65297e-05	6.09793e-06
-0.8	7.56285e-05	5.71285e-06
-0.779487	7.31399e-05	5.59018e-06
-0.758974	6.07606e-05	4.93433e-06
-0.738461	5.19891e-05	4.54663e-06
-0.717949	4.63745e-05	4.37037e-06
-0.697436	3.81829e-05	4.04529e-06
-0.676923	3.87183e-05	4.13815e-06
-0.65641	3.61407e-05	4.05383e-06
-0.635897	3.06737e-05	3.73709e-06
-0.615385	3.058e-05	3.75212e-06
-0.594872	2.96233e-05	3.69853e-06
-0.574359	2.85237e-05	3.61937e-06
-0.553846	2.61968e-05	3.48279e-06
-0.533333	2.55824e-05	3.43858e-06
-0.51282	2.76643e-05	3.57853e-06
-0.492308	2.4209e-05	3.35115e-06
-0.471795	2.536e-05	3.43071e-06
-0.451282	2.52824e-05	3.42458e-06
-0.430769	2.339e-05	3.3058e-06
-0.410256	2.10699e-05	3.13352e-06
-0.389744	2.31329e-05	3.28147e-06
-0.369231	2.2106e-05	3.2104e-06
-0.348718	2.27497e-05	3.27304e-06
-0.328205	2.31577e-05	3.29845e-06
-0.307692	2.21722e-05	3.23172e-06
-0.287179	2.29413e-05	3.29137e-06
-0.266667	2.28737e-05	3.28474e-06
-0.246154	2.68381e-05	3.56094e-06
-0.225641	2.4567e-05	3.40286e-06
-0.205128	2.49367e-05	3.42316e-06
-0.184615	2.843e-05	3.67325e-06
-0.164103	2.59484e-05	3.50978e-06
-0.14359	2.5819e-05	3.49445e-06
-0.123077	2.74269e-05	3.59832e-06
-0.102564	3.06454e-05	3.79466e-06
-0.0820513	3.00223e-05	3.75668e-06
-0.0615385	3.18966e-05	3.88082e-06
-0.0410256	3.09696e-05	3.8256e-06
-0.0205127	3.1804e-05	3.88434e-06
1.19209e-07	3.20708e-05	3.88635e-06
0.0205129	3.31806e-05	3.94625e-06
0.0410258	3.14018e-05	3.85725e-06
0.0615386	3.17629e-05	3.87484e-06
0.0820514	3.06557e-05	3.80046e-06
0.102564	2.95034e-05	3.73292e-06
0.123077	2.75184e-05	3.60811e-06
0.14359	2.77532e-05	3.62214e-06
0.164103	2.50297e-05	3.44329e-06
0.184615	2.72115e-05	3.57845e-06
0.205128	2.50598e-05	3.44214e-06
0.225641	2.35055e-05	3.33298e-06
0.246154	2.11599e-05	3.167e-06
0.266667	2.19768e-05	3.2241e-06
0.28718	2.17389e-05	3.20124e-06
0.307692	1.96343e-05	3.04083e-06
0.328205	2.08152e-05	3.12748e-06
0.348718	2.13054e-05	3.15377e-06
0.369231	2.21316e-05	3.21784e-06
0.389744	2.06954e-05	3.09512e-06
0.410257	2.0024e-05	3.04185e-06
0.430769	1.88086e-05	2.94057e-06
0.451282	2.04788e-05	3.04398e-06
0.471795	1.86819e-05	2.86112e-06
0.492308	2.02752e-05	2.99887e-06
0.512821	2.11943e-05	3.08064e-06
0.533333	2.11338e-05	3.08121e-06
0.553846	2.16958e-05	3.12686e-06
0.574359	2.35503e-05	3.27356e-06
0.594872	2.33164e-05	3.25753e-06
0.615385	2.42058e-05	3.35049e-06
0.635898	2.79985e-05	3.58901e-06
0.65641	2.80495e-05	3.58675e-06
0.676923	2.8072e-05	3.58176e-06
0.697436	3.32963e-05	3.90347e-06
0.717949	3.56724e-05	3.96215e-06
0.738462	4.32017e-05	4.30679e-06
0.758974	5.78156e-05	4.98981e-06
0.779487	6.56693e-05	5.43549e-06
0.8	7.67413e-05	5.9858e-06
0.820513	7.23537e-05	5.8023e-06
0.841026	8.35812e-05	6.3002e-06
0.861539	8.9792e-05	6.48682e-06
0.882051	0.000100694	6.90313e-06
0.902564	0.00010344	6.99043e-06
