# {InputWorkspace: 150K_Td_mesh_P52	 P1Bin: -3.1,-2.9	 P2Bin: -1.1,-0.9	 P3Bin: -2,0,2	 P4Bin: 	 P5Bin: 	 OutputWorkspace: 150K_Td_mesh_P52_cut_-3-1L }
# [0,0,L] in 0.449 A^-1	 Signal	 Error
-1.98974	-nan	-nan
-1.96923	-nan	-nan
-1.94872	-nan	-nan
-1.92821	-nan	-nan
-1.90769	-nan	-nan
-1.88718	-nan	-nan
-1.86667	-nan	-nan
-1.84615	-nan	-nan
-1.82564	-nan	-nan
-1.80513	-nan	-nan
-1.78462	-nan	-nan
-1.7641	-nan	-nan
-1.74359	-nan	-nan
-1.72308	-nan	-nan
-1.70256	-nan	-nan
-1.68205	-nan	-nan
-1.66154	-nan	-nan
-1.64103	-nan	-nan
-1.62051	-nan	-nan
-1.6	-nan	-nan
-1.57949	-nan	-nan
-1.55897	-nan	-nan
-1.53846	-nan	-nan
-1.51795	-nan	-nan
-1.49744	-nan	-nan
-1.47692	-nan	-nan
-1.45641	-nan	-nan
-1.4359	-nan	-nan
-1.41538	-nan	-nan
-1.39487	-nan	-nan
-1.37436	-nan	-nan
-1.35385	-nan	-nan
-1.33333	-nan	-nan
-1.31282	-nan	-nan
-1.29231	-nan	-nan
-1.27179	-nan	-nan
-1.25128	-nan	-nan
-1.23077	-nan	-nan
-1.21026	-nan	-nan
-1.18974	-nan	-nan
-1.16923	-nan	-nan
-1.14872	-nan	-nan
-1.12821	-nan	-nan
-1.10769	-nan	-nan
-1.08718	0.000145274	1.04365e-05
-1.06667	0.000148807	1.05455e-05
-1.04615	0.000150826	1.06043e-05
-1.02564	0.000148407	1.04495e-05
-1.00513	0.000148109	1.03407e-05
-0.984615	0.000139408	9.90571e-06
-0.964103	0.000145558	1.00415e-05
-0.94359	0.000151215	1.04334e-05
-0.923077	0.000151998	1.05842e-05
-0.902564	0.000151927	1.05649e-05
-0.882051	0.000150007	1.06934e-05
-0.861538	0.000140214	1.02036e-05
-0.841026	0.000146204	1.05311e-05
-0.820513	0.000144131	1.04863e-05
-0.8	0.00013961	1.03046e-05
-0.779487	0.000139228	1.0307e-05
-0.758974	0.000136466	1.02011e-05
-0.738461	0.000133106	1.01145e-05
-0.717949	0.000130903	1.00059e-05
-0.697436	0.000124417	9.77942e-06
-0.676923	0.00012985	1.00095e-05
-0.65641	0.000127804	9.9081e-06
-0.635897	0.000128488	9.91401e-06
-0.615385	0.000129809	1.00064e-05
-0.594872	0.000134459	1.01464e-05
-0.574359	0.00012971	9.93602e-06
-0.553846	0.000140934	1.03607e-05
-0.533333	0.000133727	1.00991e-05
-0.51282	0.000133225	1.0074e-05
-0.492308	0.000138766	1.029e-05
-0.471795	0.0001437	1.04613e-05
-0.451282	0.000138086	1.02777e-05
-0.430769	0.000147611	1.06346e-05
-0.410256	0.000147977	1.06097e-05
-0.389744	0.000149026	1.065e-05
-0.369231	0.000140659	1.03166e-05
-0.348718	0.000146492	1.05326e-05
-0.328205	0.000151675	1.071e-05
-0.307692	0.000152546	1.07099e-05
-0.287179	0.00015312	1.06831e-05
-0.266667	0.000165342	1.11154e-05
-0.246154	0.000166823	1.11389e-05
-0.225641	0.000170172	1.12865e-05
-0.205128	0.000164716	1.10908e-05
-0.184615	0.000175741	1.13766e-05
-0.164103	0.000179679	1.16032e-05
-0.14359	0.000177754	1.15834e-05
-0.123077	0.000184553	1.17491e-05
-0.102564	0.000178023	1.15446e-05
-0.0820513	0.000175739	1.14369e-05
-0.0615385	0.000180669	1.1635e-05
-0.0410256	0.000185499	1.18382e-05
-0.0205127	0.000182285	1.17266e-05
1.19209e-07	0.000174873	1.14948e-05
0.0205129	0.00017942	1.16798e-05
0.0410258	0.000177047	1.16425e-05
0.0615386	0.000176804	1.16212e-05
0.0820514	0.000175277	1.15636e-05
0.102564	0.00017181	1.14273e-05
0.123077	0.000180376	1.18118e-05
0.14359	0.000162197	1.11944e-05
0.164103	0.000164403	1.12252e-05
0.184615	0.000157648	1.10353e-05
0.205128	0.000154528	1.08681e-05
0.225641	0.000152005	1.07705e-05
0.246154	0.000156204	1.09234e-05
0.266667	0.000149174	1.06962e-05
0.28718	0.000148512	1.07204e-05
0.307692	0.000140796	1.04318e-05
0.328205	0.000143339	1.05056e-05
0.348718	0.00013979	1.03877e-05
0.369231	0.000143393	1.05132e-05
0.389744	0.000148715	1.07394e-05
0.410257	0.000142432	1.05341e-05
0.430769	0.000152314	1.09047e-05
0.451282	0.000149643	1.075e-05
0.471795	0.000141919	1.05065e-05
0.492308	0.0001423	1.04394e-05
0.512821	0.00014529	1.06002e-05
0.533333	0.000145507	1.06131e-05
0.553846	0.000141787	1.04303e-05
0.574359	0.000153346	1.08967e-05
0.594872	0.000154133	1.08253e-05
0.615385	0.000154199	1.08817e-05
0.635898	0.000155273	1.09486e-05
0.65641	0.000153563	1.08556e-05
0.676923	0.000149779	1.07043e-05
0.697436	0.00015666	1.0976e-05
0.717949	0.000154749	1.08588e-05
0.738462	0.000152671	1.08352e-05
0.758974	0.000159607	1.10386e-05
0.779487	0.000159396	1.09646e-05
0.8	0.000155569	1.08668e-05
0.820513	0.000162439	1.11161e-05
0.841026	0.00016923	1.13264e-05
0.861539	0.000177356	1.16602e-05
0.882051	0.000163375	1.10136e-05
0.902564	0.000172075	1.12724e-05
0.923077	0.000164921	1.09094e-05
0.94359	0.000165655	1.09102e-05
0.964103	0.00016615	1.0984e-05
0.984615	0.000167937	1.10915e-05
1.00513	0.000162874	1.10028e-05
1.02564	0.000164574	1.1071e-05
1.04615	0.00016507	1.1166e-05
1.06667	0.000163946	1.11464e-05
1.08718	0.000157875	1.09799e-05
1.10769	0.00014856	1.06819e-05
