# {InputWorkspace: MoTe2_S1_P37_warm_up_201_150K_target_149.8347actual	 P1Bin: -2.07,1.92	 P2Bin: -0.1,0.1	 P3Bin: -1.49,0,1.49	 P4Bin: 	 P5Bin: 	 OutputWorkspace: MoTe2_S1_P37_warm_up_201_150K_target_149.8347actual_cuts }
# [0,0,L] in 0.462 A^-1	 Signal	 Error
-1.49	-nan	-nan
-1.47	-nan	-nan
-1.45	-nan	-nan
-1.43	-nan	-nan
-1.41	-nan	-nan
-1.39	-nan	-nan
-1.37	-nan	-nan
-1.35	-nan	-nan
-1.33	-nan	-nan
-1.31	-nan	-nan
-1.29	-nan	-nan
-1.27	-nan	-nan
-1.25	-nan	-nan
-1.23	-nan	-nan
-1.21	-nan	-nan
-1.19	-nan	-nan
-1.17	-nan	-nan
-1.15	-nan	-nan
-1.13	-nan	-nan
-1.11	-nan	-nan
-1.09	1.8746e-05	1.27475e-06
-1.07	1.95884e-05	1.3025e-06
-1.05	2.06208e-05	1.34345e-06
-1.03	1.96244e-05	1.30574e-06
-1.01	2.04201e-05	1.34206e-06
-0.99	2.05152e-05	1.33635e-06
-0.97	2.05288e-05	1.33378e-06
-0.95	2.05495e-05	1.32822e-06
-0.93	2.05206e-05	1.33135e-06
-0.91	2.05466e-05	1.33372e-06
-0.89	2.01947e-05	1.32389e-06
-0.87	1.90817e-05	1.28746e-06
-0.85	1.98462e-05	1.32085e-06
-0.83	1.86074e-05	1.27692e-06
-0.81	1.7094e-05	1.23183e-06
-0.79	1.60137e-05	1.18931e-06
-0.77	1.52474e-05	1.16278e-06
-0.75	1.45279e-05	1.12823e-06
-0.73	1.32305e-05	1.07689e-06
-0.71	1.14898e-05	1.0057e-06
-0.69	1.10485e-05	9.731e-07
-0.67	1.07808e-05	9.74261e-07
-0.65	1.00224e-05	9.29503e-07
-0.63	9.96732e-06	9.10549e-07
-0.61	9.92823e-06	9.01073e-07
-0.59	9.16014e-06	8.6291e-07
-0.57	9.23502e-06	8.74662e-07
-0.55	9.07097e-06	8.80928e-07
-0.53	9.09285e-06	8.62575e-07
-0.51	9.26303e-06	8.71096e-07
-0.49	8.39392e-06	8.28407e-07
-0.47	8.42836e-06	8.41873e-07
-0.45	8.34028e-06	8.47623e-07
-0.43	8.48897e-06	8.53571e-07
-0.41	8.52573e-06	8.60799e-07
-0.39	8.00226e-06	8.38731e-07
-0.37	8.1822e-06	8.47642e-07
-0.35	8.48831e-06	8.7003e-07
-0.33	8.40487e-06	8.64546e-07
-0.31	7.85069e-06	8.31747e-07
-0.29	7.77947e-06	8.28496e-07
-0.27	8.30416e-06	8.5266e-07
-0.25	8.36497e-06	8.622e-07
-0.23	8.07662e-06	8.44014e-07
-0.21	8.18466e-06	8.47255e-07
-0.19	8.5241e-06	8.56591e-07
-0.17	8.54582e-06	8.63512e-07
-0.15	8.27866e-06	8.40325e-07
-0.13	9.18153e-06	8.83636e-07
-0.11	8.95385e-06	8.62461e-07
-0.09	8.72255e-06	8.54802e-07
-0.0700001	8.90077e-06	8.65086e-07
-0.0500001	8.67626e-06	8.42411e-07
-0.0300001	9.09337e-06	8.69334e-07
-0.00999999	8.68982e-06	8.49832e-07
0.00999999	8.07619e-06	8.17872e-07
