# {InputWorkspace: MoTe2_S1_P37_cool_down_201_250K_target_264.5948actual	 P1Bin: -2.07,1.92	 P2Bin: -0.1,0.1	 P3Bin: -1.49,0,1.49	 P4Bin: 	 P5Bin: 	 OutputWorkspace: MoTe2_S1_P37_cool_down_201_250K_target_264.5948actual_cuts }
# [0,0,L] in 0.462 A^-1	 Signal	 Error
-1.49	-nan	-nan
-1.47	-nan	-nan
-1.45	-nan	-nan
-1.43	-nan	-nan
-1.41	-nan	-nan
-1.39	-nan	-nan
-1.37	-nan	-nan
-1.35	-nan	-nan
-1.33	-nan	-nan
-1.31	-nan	-nan
-1.29	-nan	-nan
-1.27	-nan	-nan
-1.25	-nan	-nan
-1.23	-nan	-nan
-1.21	-nan	-nan
-1.19	-nan	-nan
-1.17	-nan	-nan
-1.15	-nan	-nan
-1.13	-nan	-nan
-1.11	-nan	-nan
-1.09	1.49082e-05	1.13507e-06
-1.07	1.46423e-05	1.127e-06
-1.05	1.39975e-05	1.10205e-06
-1.03	1.50194e-05	1.15065e-06
-1.01	1.43649e-05	1.12466e-06
-0.99	1.39256e-05	1.10326e-06
-0.97	1.34591e-05	1.08814e-06
-0.95	1.40312e-05	1.10312e-06
-0.93	1.36768e-05	1.09048e-06
-0.91	1.36157e-05	1.08272e-06
-0.89	1.32943e-05	1.07537e-06
-0.87	1.4418e-05	1.11078e-06
-0.85	1.40279e-05	1.09781e-06
-0.83	1.28072e-05	1.03574e-06
-0.81	1.53201e-05	1.13824e-06
-0.79	1.45499e-05	1.10745e-06
-0.77	1.50791e-05	1.13049e-06
-0.75	1.39814e-05	1.07767e-06
-0.73	1.46017e-05	1.10805e-06
-0.71	1.56771e-05	1.13974e-06
-0.69	1.53016e-05	1.13871e-06
-0.67	1.58747e-05	1.1736e-06
-0.65	1.54753e-05	1.12345e-06
-0.63	1.4023e-05	1.06064e-06
-0.61	1.45342e-05	1.09552e-06
-0.59	1.4483e-05	1.10758e-06
-0.57	1.41979e-05	1.12309e-06
-0.55	1.4724e-05	1.15616e-06
-0.53	1.35973e-05	1.10333e-06
-0.51	1.30762e-05	1.07731e-06
-0.49	1.25023e-05	1.05239e-06
-0.47	1.17951e-05	1.01423e-06
-0.45	1.21242e-05	1.03924e-06
-0.43	1.05798e-05	9.69382e-07
-0.41	1.1025e-05	9.90676e-07
-0.39	1.0765e-05	9.74703e-07
-0.37	1.00064e-05	9.44431e-07
-0.35	9.74626e-06	9.25524e-07
-0.33	9.64981e-06	9.15264e-07
-0.31	9.35494e-06	9.03309e-07
-0.29	9.14661e-06	8.90487e-07
-0.27	8.40802e-06	8.48841e-07
-0.25	8.59381e-06	8.6037e-07
-0.23	8.40432e-06	8.48301e-07
-0.21	8.90679e-06	8.81801e-07
-0.19	8.32266e-06	8.44899e-07
-0.17	8.57032e-06	8.59638e-07
-0.15	8.76845e-06	8.70987e-07
-0.13	8.15337e-06	8.34077e-07
-0.11	8.98532e-06	8.7957e-07
-0.09	8.26076e-06	8.42804e-07
-0.0700001	8.2548e-06	8.40659e-07
-0.0500001	8.67557e-06	8.58854e-07
-0.0300001	7.56992e-06	8.04257e-07
-0.00999999	7.96983e-06	8.20369e-07
0.00999999	7.8993e-06	8.16459e-07
