# {InputWorkspace: MoTe2_S1_P37_warm_up_201_210K_target_192.24actual	 P1Bin: -2.07,1.92	 P2Bin: -0.1,0.1	 P3Bin: -1.49,0,1.49	 P4Bin: 	 P5Bin: 	 OutputWorkspace: MoTe2_S1_P37_warm_up_201_210K_target_192.24actual_cuts }
# [0,0,L] in 0.462 A^-1	 Signal	 Error
-1.49	-nan	-nan
-1.47	-nan	-nan
-1.45	-nan	-nan
-1.43	-nan	-nan
-1.41	-nan	-nan
-1.39	-nan	-nan
-1.37	-nan	-nan
-1.35	-nan	-nan
-1.33	-nan	-nan
-1.31	-nan	-nan
-1.29	-nan	-nan
-1.27	-nan	-nan
-1.25	-nan	-nan
-1.23	-nan	-nan
-1.21	-nan	-nan
-1.19	-nan	-nan
-1.17	-nan	-nan
-1.15	-nan	-nan
-1.13	-nan	-nan
-1.11	-nan	-nan
-1.09	1.85789e-05	1.26384e-06
-1.07	1.84485e-05	1.26396e-06
-1.05	1.97804e-05	1.30691e-06
-1.03	1.96857e-05	1.30925e-06
-1.01	2.11592e-05	1.36106e-06
-0.99	1.97467e-05	1.30987e-06
-0.97	2.04528e-05	1.33127e-06
-0.95	2.15869e-05	1.36947e-06
-0.93	2.08888e-05	1.34409e-06
-0.91	2.11517e-05	1.35132e-06
-0.89	2.11064e-05	1.3587e-06
-0.87	2.18659e-05	1.3793e-06
-0.85	1.9267e-05	1.29143e-06
-0.83	1.95094e-05	1.29819e-06
-0.81	1.73578e-05	1.23915e-06
-0.79	1.71957e-05	1.23382e-06
-0.77	1.66129e-05	1.21807e-06
-0.75	1.43286e-05	1.12013e-06
-0.73	1.37739e-05	1.10351e-06
-0.71	1.22985e-05	1.03724e-06
-0.69	1.14233e-05	9.94951e-07
-0.67	1.09471e-05	9.82968e-07
-0.65	1.12436e-05	9.85158e-07
-0.63	1.04156e-05	9.35254e-07
-0.61	9.7552e-06	8.91746e-07
-0.59	9.65841e-06	8.90616e-07
-0.57	9.5568e-06	8.92479e-07
-0.55	8.85982e-06	8.63585e-07
-0.53	9.94455e-06	9.15835e-07
-0.51	8.76681e-06	8.50181e-07
-0.49	8.34159e-06	8.34317e-07
-0.47	8.92743e-06	8.70125e-07
-0.45	8.56052e-06	8.53649e-07
-0.43	8.61847e-06	8.62855e-07
-0.41	8.82015e-06	8.75243e-07
-0.39	8.29239e-06	8.48131e-07
-0.37	8.08058e-06	8.43486e-07
-0.35	8.74953e-06	8.82293e-07
-0.33	8.23302e-06	8.55565e-07
-0.31	8.87777e-06	8.8083e-07
-0.29	8.00167e-06	8.42831e-07
-0.27	8.32991e-06	8.5925e-07
-0.25	8.70182e-06	8.77749e-07
-0.23	8.6303e-06	8.69359e-07
-0.21	8.66243e-06	8.75597e-07
-0.19	8.10898e-06	8.37339e-07
-0.17	8.41664e-06	8.48723e-07
-0.15	8.43209e-06	8.52035e-07
-0.13	8.64181e-06	8.54487e-07
-0.11	8.90876e-06	8.70739e-07
-0.09	8.82326e-06	8.61099e-07
-0.0700001	9.13496e-06	8.78619e-07
-0.0500001	8.42365e-06	8.30496e-07
-0.0300001	8.41268e-06	8.38582e-07
-0.00999999	8.82934e-06	8.56321e-07
0.00999999	8.51036e-06	8.37729e-07
