# {InputWorkspace: MoTe2_S1_P52_warm_up_201_4_target_236.7515actual	 P1Bin: -2.07,1.92	 P2Bin: -0.1,0.1	 P3Bin: -1.49,0,1.49	 P4Bin: 	 P5Bin: 	 OutputWorkspace: MoTe2_S1_P52_warm_up_201_4_target_236.7515actual_cuts }
# [0,0,L] in 0.449 A^-1	 Signal	 Error
-1.49	-nan	-nan
-1.47	-nan	-nan
-1.45	-nan	-nan
-1.43	-nan	-nan
-1.41	-nan	-nan
-1.39	-nan	-nan
-1.37	-nan	-nan
-1.35	-nan	-nan
-1.33	-nan	-nan
-1.31	-nan	-nan
-1.29	-nan	-nan
-1.27	-nan	-nan
-1.25	-nan	-nan
-1.23	-nan	-nan
-1.21	-nan	-nan
-1.19	-nan	-nan
-1.17	-nan	-nan
-1.15	-nan	-nan
-1.13	1.75066e-05	1.23059e-06
-1.11	1.79412e-05	1.24112e-06
-1.09	1.9009e-05	1.2821e-06
-1.07	1.99894e-05	1.31647e-06
-1.05	1.89565e-05	1.27307e-06
-1.03	1.96919e-05	1.29765e-06
-1.01	2.01012e-05	1.31651e-06
-0.99	1.98459e-05	1.31477e-06
-0.97	2.06668e-05	1.33677e-06
-0.95	2.06031e-05	1.32924e-06
-0.93	2.12428e-05	1.36323e-06
-0.91	2.05342e-05	1.33509e-06
-0.89	2.03284e-05	1.32037e-06
-0.87	1.89251e-05	1.27313e-06
-0.85	1.76287e-05	1.22699e-06
-0.83	1.49131e-05	1.12154e-06
-0.81	1.53259e-05	1.14102e-06
-0.79	1.42093e-05	1.09597e-06
-0.77	1.29147e-05	1.04373e-06
-0.75	1.16612e-05	9.95129e-07
-0.73	1.06374e-05	9.56449e-07
-0.71	1.0284e-05	9.42115e-07
-0.69	1.00255e-05	9.34561e-07
-0.67	9.97552e-06	9.31275e-07
-0.65	9.7344e-06	9.22466e-07
-0.63	1.0661e-05	9.65796e-07
-0.61	1.00805e-05	9.38106e-07
-0.59	9.69703e-06	9.18011e-07
-0.57	8.76237e-06	8.75009e-07
-0.55	9.63573e-06	9.15456e-07
-0.53	8.92323e-06	8.79258e-07
-0.51	8.64538e-06	8.66108e-07
-0.49	8.88948e-06	8.81268e-07
-0.47	8.8288e-06	8.74774e-07
-0.45	8.15989e-06	8.41682e-07
-0.43	8.67292e-06	8.69271e-07
-0.41	7.96309e-06	8.28173e-07
-0.39	8.80997e-06	8.67816e-07
-0.37	8.20631e-06	8.40494e-07
-0.35	7.84993e-06	8.23748e-07
-0.33	8.47102e-06	8.48402e-07
-0.31	8.35554e-06	8.42453e-07
-0.29	8.30763e-06	8.4635e-07
-0.27	7.77472e-06	8.18549e-07
-0.25	8.41016e-06	8.5942e-07
-0.23	7.68927e-06	8.24903e-07
-0.21	7.67925e-06	8.23402e-07
-0.19	7.76649e-06	8.3007e-07
-0.17	7.94446e-06	8.42697e-07
-0.15	8.86425e-06	8.84701e-07
-0.13	8.66808e-06	8.78516e-07
-0.11	8.94025e-06	9.03996e-07
-0.09	8.8467e-06	8.92644e-07
-0.0700001	8.89023e-06	8.91383e-07
-0.0500001	8.60004e-06	8.87426e-07
-0.0300001	8.81414e-06	8.94608e-07
-0.00999999	8.68367e-06	8.87553e-07
0.00999999	8.25588e-06	8.61748e-07
