# {InputWorkspace: MoTe2_S1_P19_cool_down_201_310K_target_309.1156actual	 P1Bin: -2.07,1.92	 P2Bin: -0.1,0.1	 P3Bin: -1.49,0,1.49	 P4Bin: 	 P5Bin: 	 OutputWorkspace: MoTe2_S1_P19_cool_down_201_310K_target_309.1156actual_cuts }
# [0,0,L] in 0.447 A^-1	 Signal	 Error
-1.49	-nan	-nan
-1.47	-nan	-nan
-1.45	-nan	-nan
-1.43	-nan	-nan
-1.41	-nan	-nan
-1.39	-nan	-nan
-1.37	-nan	-nan
-1.35	-nan	-nan
-1.33	-nan	-nan
-1.31	-nan	-nan
-1.29	-nan	-nan
-1.27	-nan	-nan
-1.25	-nan	-nan
-1.23	-nan	-nan
-1.21	-nan	-nan
-1.19	2.02149e-05	1.33751e-06
-1.17	1.94869e-05	1.30247e-06
-1.15	1.85747e-05	1.27756e-06
-1.13	1.96187e-05	1.31235e-06
-1.11	1.87246e-05	1.2781e-06
-1.09	1.84907e-05	1.26421e-06
-1.07	1.75726e-05	1.23602e-06
-1.05	1.70037e-05	1.21409e-06
-1.03	1.7304e-05	1.22842e-06
-1.01	1.51174e-05	1.14721e-06
-0.99	1.63996e-05	1.19128e-06
-0.97	1.51053e-05	1.14774e-06
-0.95	1.54032e-05	1.15647e-06
-0.93	1.51565e-05	1.15456e-06
-0.91	1.40011e-05	1.11079e-06
-0.89	1.46785e-05	1.13995e-06
-0.87	1.44339e-05	1.13501e-06
-0.85	1.46292e-05	1.14374e-06
-0.83	1.48293e-05	1.15736e-06
-0.81	1.49926e-05	1.16113e-06
-0.79	1.51398e-05	1.16875e-06
-0.77	1.56256e-05	1.18649e-06
-0.75	1.60917e-05	1.20603e-06
-0.73	1.59703e-05	1.2046e-06
-0.71	1.68787e-05	1.24173e-06
-0.69	1.60267e-05	1.20749e-06
-0.67	1.58134e-05	1.20535e-06
-0.65	1.55561e-05	1.19072e-06
-0.63	1.53036e-05	1.17733e-06
-0.61	1.60743e-05	1.20701e-06
-0.59	1.54203e-05	1.18132e-06
-0.57	1.43565e-05	1.13877e-06
-0.55	1.39591e-05	1.11419e-06
-0.53	1.3418e-05	1.09841e-06
-0.51	1.42121e-05	1.12395e-06
-0.49	1.21296e-05	1.03635e-06
-0.47	1.16147e-05	1.0141e-06
-0.45	1.12525e-05	9.98465e-07
-0.43	1.15815e-05	1.01294e-06
-0.41	1.05463e-05	9.63402e-07
-0.39	1.04178e-05	9.58252e-07
-0.37	1.04696e-05	9.60043e-07
-0.35	1.00588e-05	9.37982e-07
-0.33	9.6431e-06	9.14174e-07
-0.31	9.68414e-06	9.24911e-07
-0.29	8.71708e-06	8.71735e-07
-0.27	9.2675e-06	9.00546e-07
-0.25	9.2612e-06	9.02198e-07
-0.23	9.12623e-06	8.89611e-07
-0.21	9.76756e-06	9.24277e-07
-0.19	8.85289e-06	8.86165e-07
-0.17	8.85197e-06	8.77345e-07
-0.15	9.58282e-06	9.12698e-07
-0.13	8.31907e-06	8.51381e-07
-0.11	8.37448e-06	8.58861e-07
-0.09	8.25461e-06	8.52107e-07
-0.0700001	8.52517e-06	8.67163e-07
-0.0500001	8.08299e-06	8.45306e-07
-0.0300001	8.97936e-06	8.99519e-07
