# {InputWorkspace: MoTe2_S1_P19_warm_up_201_160K_target_155.6007actual	 P1Bin: -2.07,1.92	 P2Bin: -0.1,0.1	 P3Bin: -1.49,0,1.49	 P4Bin: 	 P5Bin: 	 OutputWorkspace: MoTe2_S1_P19_warm_up_201_160K_target_155.6007actual_cuts }
# [0,0,L] in 0.447 A^-1	 Signal	 Error
-1.49	-nan	-nan
-1.47	-nan	-nan
-1.45	-nan	-nan
-1.43	-nan	-nan
-1.41	-nan	-nan
-1.39	-nan	-nan
-1.37	-nan	-nan
-1.35	-nan	-nan
-1.33	-nan	-nan
-1.31	-nan	-nan
-1.29	-nan	-nan
-1.27	-nan	-nan
-1.25	-nan	-nan
-1.23	-nan	-nan
-1.21	-nan	-nan
-1.19	1.67565e-05	1.21614e-06
-1.17	1.71163e-05	1.23585e-06
-1.15	1.88574e-05	1.29078e-06
-1.13	1.98041e-05	1.32393e-06
-1.11	2.07313e-05	1.34896e-06
-1.09	2.09129e-05	1.35564e-06
-1.07	2.24916e-05	1.40315e-06
-1.05	2.26922e-05	1.40455e-06
-1.03	2.37873e-05	1.44509e-06
-1.01	2.37652e-05	1.44184e-06
-0.99	2.45653e-05	1.46859e-06
-0.97	2.48303e-05	1.47273e-06
-0.95	2.40021e-05	1.44679e-06
-0.93	2.46102e-05	1.46895e-06
-0.91	2.40073e-05	1.45045e-06
-0.89	2.29424e-05	1.41657e-06
-0.87	2.21922e-05	1.38967e-06
-0.85	2.04971e-05	1.32771e-06
-0.83	1.7939e-05	1.24032e-06
-0.81	1.76118e-05	1.22403e-06
-0.79	1.63164e-05	1.18093e-06
-0.77	1.49355e-05	1.12863e-06
-0.75	1.26965e-05	1.03231e-06
-0.73	1.1633e-05	9.97659e-07
-0.71	1.08974e-05	9.67912e-07
-0.69	1.05097e-05	9.50072e-07
-0.67	9.24419e-06	8.94368e-07
-0.65	9.18822e-06	8.94819e-07
-0.63	9.07797e-06	8.89004e-07
-0.61	9.56751e-06	9.11337e-07
-0.59	8.76831e-06	8.77704e-07
-0.57	8.84311e-06	8.82111e-07
-0.55	8.39643e-06	8.60386e-07
-0.53	8.48582e-06	8.71137e-07
-0.51	8.48554e-06	8.74298e-07
-0.49	8.06796e-06	8.49276e-07
-0.47	8.85971e-06	8.91414e-07
-0.45	8.31554e-06	8.62433e-07
-0.43	7.8013e-06	8.40377e-07
-0.41	8.31449e-06	8.66021e-07
-0.39	7.6653e-06	8.33668e-07
-0.37	8.11118e-06	8.55655e-07
-0.35	7.72352e-06	8.28401e-07
-0.33	7.4425e-06	8.11326e-07
-0.31	8.4105e-06	8.57277e-07
-0.29	7.88732e-06	8.36384e-07
-0.27	7.68749e-06	8.24193e-07
-0.25	8.73701e-06	8.76119e-07
-0.23	7.7107e-06	8.16316e-07
-0.21	8.24968e-06	8.48645e-07
-0.19	8.59816e-06	8.5985e-07
-0.17	8.40382e-06	8.48859e-07
-0.15	8.77555e-06	8.69764e-07
-0.13	8.69122e-06	8.59544e-07
-0.11	8.76887e-06	8.70575e-07
-0.09	8.575e-06	8.58562e-07
-0.0700001	8.92782e-06	8.7755e-07
-0.0500001	8.92835e-06	8.77615e-07
-0.0300001	8.66543e-06	8.58707e-07
-0.00999999	8.785e-06	8.66058e-07
