# scan = 17
# date = 4/29/2024
# time = 6:45:50 PM
# proposal = 32124
# experiment = Investigation of Spin Waves and Magnetic Interactions in NiTiO3
# experiment_number = 418
# command = scanrel s1 2 -2 0.4
# builtin_command = scan s1 @(s1)+2 @(s1)+-2 0.400000
# users = Armando Di Biase, John Schneeloch, Despina Louca, Rathnayaka Mudiyanselage Dilan Srimal Rathnayaka
# local_contact = Tao Hong
# scan_title = 
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Single crystal
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.048583,5.048583,13.854450,90.000000,90.000000,120.000000
# ubmatrix = -0.200295,-0.186332,0.015102,-0.037925,-0.045892,-0.070500,0.103709,-0.124443,0.003386
# mode = 0
# plane_normal = -0.061049,0.034834,0.997527
# ubconf = UB29Apr2024_62703PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu focal_length         m1         m2       marc     mtrans     mfocus         s2        sgl        sgu        bbb        bbl        bbr        bbt        bab        bal        bar        bat        stl        stu         a1         a2     afocus        qm1        qm2        qm3        qm4        qm5        qm6        qm7        qm8        xm1        xm2        xm3        xm4        xm5        xm6        xm7        xm8          q          h          k          l         ei         ef          e        vti     sample       temp
      1   -74.5450      1.000    398.000   2577.000      1.171    98.4288   142.0306   -75.9388     0.4200    -1.0000    28.2560    53.0977     3.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605    -0.0217     0.0431     2.9977     4.8000     4.8000    -0.0000     0.0000     0.0000   100.000
      2   -74.9450      1.000   2542.000   2624.000      1.193    98.4288   142.0306   -75.9388     0.4200    -1.0000    28.2560    53.0977     3.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605    -0.0254     0.0392     2.9980     4.8000     4.8000    -0.0000     0.0000     0.0000   100.000
      3   -75.3425      1.000  12008.000   2551.000      1.160    98.4288   142.0306   -75.9388     0.4200    -1.0000    28.2560    53.0977     3.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605    -0.0292     0.0354     2.9982     4.8000     4.8000    -0.0000     0.0000     0.0000   100.000
      4   -75.7450      1.000  46290.000   2521.000      1.146    98.4288   142.0306   -75.9388     0.4200    -1.0000    28.2560    53.0977     3.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605    -0.0330     0.0315     2.9983     4.8000     4.8000    -0.0000     0.0000     0.0000   100.000
      5   -76.1450      1.000 103072.000   2518.000      1.145    98.4288   142.0306   -75.9388     0.4200    -1.0000    28.2560    53.0977     3.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605    -0.0367     0.0276     2.9982     4.8000     4.8000    -0.0000     0.0000     0.0000   100.000
      6   -76.5450      1.000 119396.000   2509.000      1.140    98.4288   142.0306   -75.9388     0.4200    -1.0000    28.2560    53.0977     3.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605    -0.0405     0.0237     2.9979     4.8000     4.8000    -0.0000     0.0000     0.0000   100.000
      7   -76.9450      1.000 113882.000   2610.000      1.186    98.4288   142.0306   -75.9388     0.4200    -1.0000    28.2560    53.0977     3.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605    -0.0443     0.0199     2.9975     4.8000     4.8000    -0.0000     0.0000     0.0000   100.000
      8   -77.3425      1.000 120877.000   2514.000      1.143    98.4288   142.0306   -75.9388     0.4200    -1.0000    28.2560    53.0977     3.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605    -0.0480     0.0160     2.9970     4.8000     4.8000    -0.0000     0.0000     0.0000   100.000
      9   -77.7450      1.000 101747.000   2635.000      1.198    98.4288   142.0306   -75.9388     0.4200    -1.0000    28.2560    53.0977     3.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605    -0.0518     0.0121     2.9963     4.8000     4.8000    -0.0000     0.0000     0.0000   100.000
     10   -78.1425      1.000  58120.000   2456.000      1.116    98.4288   142.0306   -75.9388     0.4200    -1.0000    28.2560    53.0977     3.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605    -0.0555     0.0083     2.9955     4.8000     4.8000    -0.0000     0.0000     0.0000   100.000
