# scan = 57
# date = 4/30/2024
# time = 8:33:36 AM
# proposal = 32124
# experiment = Investigation of Spin Waves and Magnetic Interactions in NiTiO3
# experiment_number = 418
# command = scanrel s1 2 -2 0.2
# builtin_command = scan s1 @(s1)+2 @(s1)+-2 0.200000
# users = Armando Di Biase, John Schneeloch, Despina Louca, Rathnayaka Mudiyanselage Dilan Srimal Rathnayaka
# local_contact = Tao Hong
# scan_title = phonon scans at room temperature HHL plane
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Single crystal
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.048583,5.048583,13.854450,90.000000,90.000000,120.000000
# ubmatrix = -0.191810,-0.191810,0.018010,-0.049423,-0.049423,-0.069896,0.114359,-0.114359,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = UB29Apr2024_70313PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu focal_length         m1         m2       marc     mtrans     mfocus         s2        sgl        sgu        bbb        bbl        bbr        bbt        bab        bal        bar        bat        stl        stu         a1         a2     afocus        qm1        qm2        qm3        qm4        qm5        qm6        qm7        qm8        xm1        xm2        xm3        xm4        xm5        xm6        xm7        xm8          q          h          k          l         ei         ef          e        vti     sample       temp
      1   -55.0000      1.000  16061.000   2559.000      1.163    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605     0.2127     0.2127     2.7636     4.8000     4.8000     0.0000   180.4020   193.8640     1.000
      2   -55.1975      1.000  26074.000   2541.000      1.155    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605     0.2110     0.2110     2.7676     4.8000     4.8000     0.0000   180.2900   193.7640     1.000
      3   -55.3975      1.000  40932.000   2581.000      1.173    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605     0.2092     0.2092     2.7716     4.8000     4.8000     0.0000   180.1960   193.6750     1.000
      4   -55.6000      1.000  61606.000   2516.000      1.144    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605     0.2074     0.2074     2.7756     4.8000     4.8000     0.0000   180.0850   193.5780     1.000
      5   -55.7975      1.000  81912.000   2504.000      1.138    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605     0.2057     0.2057     2.7795     4.8000     4.8000     0.0000   179.9860   193.4950     1.000
      6   -56.0000      1.000  98063.000   2565.000      1.166    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605     0.2039     0.2039     2.7835     4.8000     4.8000     0.0000   179.8860   193.4120     1.000
      7   -56.2000      1.000 106845.000   2508.000      1.140    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605     0.2021     0.2021     2.7874     4.8000     4.8000     0.0000   179.7820   193.3170     1.000
      8   -56.4000      1.000 110079.000   2602.000      1.183    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605     0.2003     0.2003     2.7913     4.8000     4.8000     0.0000   179.6780   193.2290     1.000
      9   -56.6000      1.000 107988.000   2571.000      1.169    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605     0.1986     0.1986     2.7951     4.8000     4.8000     0.0000   179.5630   193.1330     1.000
     10   -56.8000      1.000 105447.000   2557.000      1.162    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605     0.1968     0.1968     2.7989     4.8000     4.8000     0.0000   179.4730   193.0460     1.000
     11   -57.0000      1.000 106429.000   2562.000      1.165    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605     0.1950     0.1950     2.8026     4.8000     4.8000     0.0000   179.3700   192.9590     1.000
     12   -57.2000      1.000 108011.000   2483.000      1.129    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605     0.1932     0.1932     2.8063     4.8000     4.8000     0.0000   179.2650   192.8640     1.000
     13   -57.4000      1.000 104161.000   2468.000      1.122    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605     0.1914     0.1914     2.8100     4.8000     4.8000     0.0000   179.1720   192.7850     1.000
     14   -57.6000      1.000  88576.000   2477.000      1.126    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605     0.1896     0.1896     2.8137     4.8000     4.8000     0.0000   179.0490   192.6810     1.000
     15   -57.7975      1.000  65217.000   2500.000      1.136    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605     0.1879     0.1879     2.8172     4.8000     4.8000     0.0000   178.9510   192.5950     1.000
