# scan = 58
# date = 4/30/2024
# time = 8:35:39 AM
# proposal = 32124
# experiment = Investigation of Spin Waves and Magnetic Interactions in NiTiO3
# experiment_number = 418
# command = scan sgu 3 -3 1
# builtin_command = scan sgu 3 -3 1
# users = Armando Di Biase, John Schneeloch, Despina Louca, Rathnayaka Mudiyanselage Dilan Srimal Rathnayaka
# local_contact = Tao Hong
# scan_title = phonon scans at room temperature HHL plane
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Single crystal
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.048583,5.048583,13.854450,90.000000,90.000000,120.000000
# ubmatrix = -0.191810,-0.191810,0.018010,-0.049423,-0.049423,-0.069896,0.114359,-0.114359,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = UB29Apr2024_70313PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = sgu
# def_y = detector
# col_headers = 
#   Pt.        sgu       time   detector    monitor        mcu focal_length         m1         m2       marc     mtrans     mfocus         s1         s2        sgl        bbb        bbl        bbr        bbt        bab        bal        bar        bat        stl        stu         a1         a2     afocus        qm1        qm2        qm3        qm4        qm5        qm6        qm7        qm8        xm1        xm2        xm3        xm4        xm5        xm6        xm7        xm8          q          h          k          l         ei         ef          e        vti     sample       temp
      1     3.0000      1.000  75964.000   2467.000      1.121    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.8000    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605     0.2458     0.1474     2.7949     4.8000     4.8000     0.0000   173.8990   188.0390     1.000
      2     2.0000      1.000  89634.000   2556.000      1.162    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.8000    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605     0.2295     0.1639     2.7971     4.8000     4.8000     0.0000   173.7070   187.8530     1.000
      3     1.0000      1.000 100679.000   2517.000      1.144    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.8000    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605     0.2132     0.1803     2.7984     4.8000     4.8000     0.0000   173.4970   187.6580     1.000
      4     0.0000      1.000 105686.000   2490.000      1.132    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.8000    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605     0.1968     0.1968     2.7989     4.8000     4.8000     0.0000   173.2760   187.4610     1.000
      5    -1.0000      1.000 102604.000   2513.000      1.142    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.8000    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605     0.1803     0.2132     2.7984     4.8000     4.8000     0.0000   173.0430   187.2400     1.000
      6    -2.0000      1.000  93717.000   2559.000      1.163    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.8000    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605     0.1639     0.2295     2.7971     4.8000     4.8000     0.0000   172.8460   187.0520     1.000
      7    -3.0000      1.000  80310.000   2512.000      1.142    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.8000    53.0977     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605     0.1474     0.2458     2.7949     4.8000     4.8000     0.0000   172.6320   186.8520     1.000
# Sum of Counts = 648594
# Center of Mass = -0.035660+/-0.002360
# Full Width Half-Maximum = 3.800733+/-0.004343
# 8:36:16 AM  4/30/2024   scan completed.
