# scan = 59
# date = 4/30/2024
# time = 8:36:46 AM
# proposal = 32124
# experiment = Investigation of Spin Waves and Magnetic Interactions in NiTiO3
# experiment_number = 418
# command = th2th 2 -2 0.2
# builtin_command = scan s2 @(s2)+2 @(s2)+-2 0.200000 s1 @(s1)+(2/2) @(s1)+(-2/2) 0.100000
# users = Armando Di Biase, John Schneeloch, Despina Louca, Rathnayaka Mudiyanselage Dilan Srimal Rathnayaka
# local_contact = Tao Hong
# scan_title = phonon scans at room temperature HHL plane
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Single crystal
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.048583,5.048583,13.854450,90.000000,90.000000,120.000000
# ubmatrix = -0.191810,-0.191810,0.018010,-0.049423,-0.049423,-0.069896,0.114359,-0.114359,0.000000
# mode = 0
# plane_normal = 0.000000,0.000000,1.000000
# ubconf = UB29Apr2024_70313PM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = s2
# def_y = detector
# col_headers = 
#   Pt.         s2         s1       time   detector    monitor        mcu focal_length         m1         m2       marc     mtrans     mfocus        sgl        sgu        bbb        bbl        bbr        bbt        bab        bal        bar        bat        stl        stu         a1         a2     afocus        qm1        qm2        qm3        qm4        qm5        qm6        qm7        qm8        xm1        xm2        xm3        xm4        xm5        xm6        xm7        xm8          q          h          k          l         ei         ef          e        vti     sample       temp
      1    55.0977   -55.8000      1.000    121.000   2561.000      1.164    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4079     0.2036     0.2036     2.8962     4.8000     4.8000     0.0000   170.7640   185.0860     1.000
      2    54.8977   -55.9000      1.000    387.000   2453.000      1.115    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4031     0.2029     0.2029     2.8865     4.8000     4.8000     0.0000   170.6330   184.9600     1.000
      3    54.6977   -56.0000      1.000   2207.000   2541.000      1.155    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3984     0.2023     0.2023     2.8768     4.8000     4.8000     0.0000   170.5220   184.8510     1.000
      4    54.4977   -56.1000      1.000   8765.000   2487.000      1.130    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3937     0.2016     0.2016     2.8671     4.8000     4.8000     0.0000   170.3810   184.7170     1.000
      5    54.2977   -56.1975      1.000  25085.000   2592.000      1.178    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3890     0.2009     0.2009     2.8573     4.8000     4.8000     0.0000   170.2670   184.6080     1.000
      6    54.0977   -56.3025      1.000  45002.000   2606.000      1.185    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3843     0.2002     0.2002     2.8477     4.8000     4.8000     0.0000   170.1290   184.4800     1.000
      7    53.8977   -56.4025      1.000  62307.000   2653.000      1.206    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3795     0.1995     0.1995     2.8379     4.8000     4.8000     0.0000   170.0230   184.3690     1.000
      8    53.6977   -56.5025      1.000  80364.000   2645.000      1.202    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3748     0.1988     0.1988     2.8282     4.8000     4.8000     0.0000   169.8980   184.2470     1.000
      9    53.4977   -56.6025      1.000 100985.000   2540.000      1.155    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3700     0.1981     0.1981     2.8184     4.8000     4.8000     0.0000   169.7870   184.1450     1.000
     10    53.2977   -56.7000      1.000 111753.000   2571.000      1.169    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3653     0.1975     0.1975     2.8086     4.8000     4.8000     0.0000   169.6580   184.0180     1.000
     11    53.0977   -56.8000      1.000 108593.000   2560.000      1.164    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3605     0.1968     0.1968     2.7989     4.8000     4.8000     0.0000   169.5450   183.9080     1.000
     12    52.8977   -56.9000      1.000  98973.000   2515.000      1.143    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3558     0.1961     0.1961     2.7891     4.8000     4.8000     0.0000   169.4180   183.7820     1.000
     13    52.6977   -57.0000      1.000  81955.000   2570.000      1.168    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3510     0.1954     0.1954     2.7793     4.8000     4.8000     0.0000   169.3130   183.6730     1.000
     14    52.4977   -57.1000      1.000  57770.000   2532.000      1.151    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3463     0.1947     0.1947     2.7695     4.8000     4.8000     0.0000   169.1770   183.5510     1.000
     15    52.2977   -57.2000      1.000  26115.000   2528.000      1.149    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3415     0.1940     0.1940     2.7597     4.8000     4.8000     0.0000   169.0640   183.4450     1.000
     16    52.0977   -57.3000      1.000   8167.000   2447.000      1.112    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3367     0.1933     0.1933     2.7499     4.8000     4.8000     0.0000   168.9400   183.3160     1.000
     17    51.8977   -57.4000      1.000   1573.000   2505.000      1.139    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3320     0.1926     0.1926     2.7400     4.8000     4.8000     0.0000   168.8290   183.2150     1.000
     18    51.6977   -57.5000      1.000    567.000   2446.000      1.112    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3272     0.1919     0.1919     2.7302     4.8000     4.8000     0.0000   168.6990   183.0890     1.000
     19    51.4977   -57.6000      1.000    581.000   2573.000      1.170    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3224     0.1913     0.1913     2.7204     4.8000     4.8000     0.0000   168.5850   182.9850     1.000
     20    51.2977   -57.7000      1.000    717.000   2455.000      1.116    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3176     0.1906     0.1906     2.7105     4.8000     4.8000     0.0000   168.4610   182.8540     1.000
     21    51.0977   -57.8000      1.000    926.000   2515.000      1.143    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3128     0.1899     0.1899     2.7007     4.8000     4.8000     0.0000   168.3530   182.7450     1.000
# Sum of Counts = 822913
# Center of Mass = 53.255192+/-0.083026
# Full Width Half-Maximum = 1.098728+/-0.040277
# 8:37:45 AM  4/30/2024   scan completed.
