# scan = 67
# date = 4/30/2024
# time = 9:11:06 AM
# proposal = 32124
# experiment = Investigation of Spin Waves and Magnetic Interactions in NiTiO3
# experiment_number = 418
# command = scan bab 0 25 1
# builtin_command = scan bab 0 25 1
# users = Armando Di Biase, John Schneeloch, Despina Louca, Rathnayaka Mudiyanselage Dilan Srimal Rathnayaka
# local_contact = Tao Hong
# scan_title = alignment on cooling
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Single crystal
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.025711,5.025711,13.816454,90.000000,90.000000,120.000000
# ubmatrix = -0.198607,-0.196602,-0.008463,0.023267,0.023267,-0.071881,0.113150,-0.116599,-0.000074
# mode = 0
# plane_normal = -0.008727,-0.000000,0.999962
# ubconf = UB30Apr2024_85402AM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = bab
# def_y = detector
# col_headers = 
#   Pt.        bab       time   detector    monitor        mcu focal_length         m1         m2       marc     mtrans     mfocus         s1         s2        sgl        sgu        bbb        bbl        bbr        bbt        bal        bar        bat        stl        stu         a1         a2     afocus        qm1        qm2        qm3        qm4        qm5        qm6        qm7        qm8        xm1        xm2        xm3        xm4        xm5        xm6        xm7        xm8          q          h          k          l         ei         ef          e        vti     sample       temp
      1     0.0000      1.000  65979.000   2526.000      1.148    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    92.2666   101.0010     1.000
      2     1.0000      1.000  70203.000   2549.000      1.159    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    92.1784   100.9030     1.000
      3     2.0000      1.000  75187.000   2589.000      1.177    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    92.0893   100.7970     1.000
      4     3.0000      1.000  79020.000   2624.000      1.193    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    91.9900   100.6820     1.000
      5     4.0000      1.000  83737.000   2563.000      1.165    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    91.9049   100.5800     1.000
      6     5.0000      1.000  86531.000   2525.000      1.148    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    91.8053   100.4650     1.000
      7     6.0000      1.000  90138.000   2504.000      1.138    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    91.7015   100.3420     1.000
      8     7.0000      1.000  93161.000   2504.000      1.138    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    91.6128   100.2410     1.000
      9     8.0000      1.000  96317.000   2471.000      1.123    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    91.5106   100.1220     1.000
     10     9.0000      1.000  98482.000   2556.000      1.162    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    91.4097   100.0040     1.000
     11    10.0000      1.000 100806.000   2532.000      1.151    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    91.3246    99.8999     1.000
     12    11.0000      1.000 102837.000   2411.000      1.096    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    91.2267    99.7829     1.000
     13    12.0000      1.000 105254.000   2516.000      1.144    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    91.1234    99.6650     1.000
     14    13.0000      1.000 106338.000   2517.000      1.144    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    91.0363    99.5646     1.000
     15    14.0000      1.000 108448.000   2542.000      1.155    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    90.9417    99.4454     1.000
     16    15.0000      1.000 109113.000   2484.000      1.129    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    90.8371    99.3325     1.000
     17    16.0000      1.000 110643.000   2527.000      1.149    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    90.7507    99.2290     1.000
     18    17.0000      1.000 110980.000   2574.000      1.170    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    90.6516    99.1165     1.000
     19    18.0000      1.000 111505.000   2524.000      1.147    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    90.5484    98.9999     1.000
     20    19.0000      1.000 111982.000   2580.000      1.173    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    90.4610    98.8956     1.000
     21    20.0000      1.000 112620.000   2517.000      1.144    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    90.3623    98.7842     1.000
     22    21.0000      1.000 112974.000   2571.000      1.169    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6575    53.2552     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    25.0000    25.0000    25.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3643    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    90.2570    98.6655     1.000
