# scan = 68
# date = 4/30/2024
# time = 9:15:52 AM
# proposal = 32124
# experiment = Investigation of Spin Waves and Magnetic Interactions in NiTiO3
# experiment_number = 418
# command = th2th 2 -2 0.2
# builtin_command = scan s2 @(s2)+2 @(s2)+-2 0.200000 s1 @(s1)+(2/2) @(s1)+(-2/2) 0.100000
# users = Armando Di Biase, John Schneeloch, Despina Louca, Rathnayaka Mudiyanselage Dilan Srimal Rathnayaka
# local_contact = Tao Hong
# scan_title = alignment on cooling
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Single crystal
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.025711,5.025711,13.816454,90.000000,90.000000,120.000000
# ubmatrix = -0.198607,-0.196602,-0.008463,0.023267,0.023267,-0.071881,0.113150,-0.116599,-0.000074
# mode = 0
# plane_normal = -0.008727,-0.000000,0.999962
# ubconf = UB30Apr2024_85402AM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = s2
# def_y = detector
# col_headers = 
#   Pt.         s2         s1       time   detector    monitor        mcu focal_length         m1         m2       marc     mtrans     mfocus        sgl        sgu        bbb        bbl        bbr        bbt        bab        bal        bar        bat        stl        stu         a1         a2     afocus        qm1        qm2        qm3        qm4        qm5        qm6        qm7        qm8        xm1        xm2        xm3        xm4        xm5        xm6        xm7        xm8          q          h          k          l         ei         ef          e        vti     sample       temp
      1    55.2552   -55.6600      1.000    112.000   2597.000      1.180    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4116    -0.0000    -0.0000     3.1040     4.8000     4.8000     0.0000    84.4845    92.2117     1.000
      2    55.0552   -55.7550      1.000    144.000   2496.000      1.135    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4069     0.0000     0.0000     3.0936     4.8000     4.8000     0.0000    84.4095    92.1256     1.000
      3    54.8552   -55.8550      1.000    628.000   2479.000      1.127    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4021     0.0000     0.0000     3.0833     4.8000     4.8000     0.0000    84.3406    92.0531     1.000
      4    54.6552   -55.9575      1.000   3246.000   2498.000      1.135    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3974    -0.0000    -0.0000     3.0729     4.8000     4.8000     0.0000    84.2619    91.9667     1.000
      5    54.4552   -56.0575      1.000  13262.000   2617.000      1.190    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3927    -0.0000    -0.0000     3.0625     4.8000     4.8000     0.0000    84.1931    91.8901     1.000
      6    54.2552   -56.1575      1.000  30177.000   2499.000      1.136    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3880    -0.0000    -0.0000     3.0521     4.8000     4.8000     0.0000    84.1110    91.8071     1.000
      7    54.0552   -56.2550      1.000  49425.000   2418.000      1.099    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3832     0.0000     0.0000     3.0417     4.8000     4.8000     0.0000    84.0433    91.7334     1.000
      8    53.8552   -56.3600      1.000  66420.000   2532.000      1.151    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3785    -0.0000    -0.0000     3.0313     4.8000     4.8000     0.0000    83.9646    91.6467     1.000
      9    53.6552   -56.4550      1.000  88357.000   2595.000      1.180    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3738     0.0000     0.0000     3.0209     4.8000     4.8000     0.0000    83.8962    91.5742     1.000
     10    53.4552   -56.5575      1.000 105071.000   2524.000      1.147    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3690    -0.0000    -0.0000     3.0104     4.8000     4.8000     0.0000    83.8184    91.4880     1.000
