# scan = 70
# date = 4/30/2024
# time = 9:18:59 AM
# proposal = 32124
# experiment = Investigation of Spin Waves and Magnetic Interactions in NiTiO3
# experiment_number = 418
# command = scan h 0 k 0 l 3.1 2.9 0.02
# builtin_command = scan h 0 k 0 l 3.1 2.9 0.02
# users = Armando Di Biase, John Schneeloch, Despina Louca, Rathnayaka Mudiyanselage Dilan Srimal Rathnayaka
# local_contact = Tao Hong
# scan_title = alignment on cooling
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Single crystal
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.025711,5.025711,13.808960,90.000000,90.000000,120.000000
# ubmatrix = -0.198607,-0.196602,-0.008468,0.023267,0.023267,-0.071920,0.113150,-0.116599,-0.000074
# mode = 0
# plane_normal = -0.008727,-0.000000,0.999962
# ubconf = UB30Apr2024_91824AM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = l
# def_y = detector
# col_headers = 
#   Pt.          h          k          l       time   detector    monitor        mcu focal_length         m1         m2       marc     mtrans     mfocus         s1         s2        sgl        sgu        bbb        bbl        bbr        bbt        bab        bal        bar        bat        stl        stu         a1         a2     afocus        qm1        qm2        qm3        qm4        qm5        qm6        qm7        qm8        xm1        xm2        xm3        xm4        xm5        xm6        xm7        xm8          q         ei         ef          e        vti     sample       temp
      1    -0.0000    -0.0000     3.1000      1.000     89.000   2569.000      1.168    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -55.6800    55.2110     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4105     4.8000     4.8000     0.0000    78.9655    86.2063     1.000
      2    -0.0000    -0.0000     3.0800      1.000   2221.000   2536.000      1.153    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -55.8725    54.8247     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4014     4.8000     4.8000     0.0000    78.8618    86.0931     1.000
      3     0.0000     0.0000     3.0600      1.000  23355.000   2538.000      1.154    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.0650    54.4391     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3923     4.8000     4.8000     0.0000    78.7563    85.9768     1.000
      4     0.0000     0.0000     3.0400      1.000  53485.000   2504.000      1.138    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.2550    54.0542     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3832     4.8000     4.8000     0.0000    78.6566    85.8696     1.000
      5    -0.0000    -0.0000     3.0200      1.000 100108.000   2562.000      1.165    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.4500    53.6700     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3741     4.8000     4.8000     0.0000    78.5619    85.7625     1.000
      6    -0.0000    -0.0000     3.0000      1.000 111035.000   2603.000      1.183    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650     4.8000     4.8000     0.0000    78.4765    85.6691     1.000
      7     0.0000     0.0000     2.9800      1.000  86146.000   2532.000      1.151    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.8325    52.9034     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3559     4.8000     4.8000     0.0000    78.3780    85.5610     1.000
      8    -0.0000    -0.0000     2.9600      1.000  42499.000   2567.000      1.167    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -57.0250    52.5211     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3468     4.8000     4.8000     0.0000    78.2973    85.4737     1.000
      9     0.0000     0.0000     2.9400      1.000   2799.000   2512.000      1.142    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -57.2125    52.1394     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3377     4.8000     4.8000     0.0000    78.1822    85.3481     1.000
     10     0.0000     0.0000     2.9200      1.000    482.000   2504.000      1.138    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -57.4050    51.7583     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3286     4.8000     4.8000     0.0000    78.0842    85.2381     1.000
