# scan = 73
# date = 4/30/2024
# time = 9:38:29 AM
# proposal = 32124
# experiment = Investigation of Spin Waves and Magnetic Interactions in NiTiO3
# experiment_number = 418
# command = scan stu 10 -10 1
# builtin_command = scan stu 10 -10 1
# users = Armando Di Biase, John Schneeloch, Despina Louca, Rathnayaka Mudiyanselage Dilan Srimal Rathnayaka
# local_contact = Tao Hong
# scan_title = alignment on cooling
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Single crystal
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.025711,5.025711,13.808960,90.000000,90.000000,120.000000
# ubmatrix = -0.198607,-0.196602,-0.008468,0.023267,0.023267,-0.071920,0.113150,-0.116599,-0.000074
# mode = 0
# plane_normal = -0.008727,-0.000000,0.999962
# ubconf = UB30Apr2024_91824AM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = stu
# def_y = detector
# col_headers = 
#   Pt.        stu       time   detector    monitor        mcu focal_length         m1         m2       marc     mtrans     mfocus         s1         s2        sgl        sgu        bbb        bbl        bbr        bbt        bab        bal        bar        bat        stl         a1         a2     afocus        qm1        qm2        qm3        qm4        qm5        qm6        qm7        qm8        xm1        xm2        xm3        xm4        xm5        xm6        xm7        xm8          q          h          k          l         ei         ef          e        vti     sample       temp
      1    10.0000      1.000  55559.000   2559.000      1.163    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    38.3061    41.7317     1.000
      2     9.0000      1.000  68619.000   2573.000      1.170    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    38.2061    41.6283     1.000
      3     8.0000      1.000  80847.000   2572.000      1.169    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    38.0901    41.5051     1.000
      4     7.0000      1.000  89246.000   2485.000      1.130    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    37.9930    41.4017     1.000
      5     6.0000      1.000  96000.000   2495.000      1.134    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    37.8712    41.2713     1.000
      6     5.0000      1.000 100381.000   2540.000      1.155    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    37.7726    41.1664     1.000
      7     4.0000      1.000 103167.000   2628.000      1.195    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    37.6736    41.0607     1.000
      8     3.0000      1.000 105257.000   2592.000      1.178    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    37.5733    40.9549     1.000
      9     2.0000      1.000 108128.000   2542.000      1.155    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    37.4734    40.8474     1.000
     10     1.0000      1.000 109250.000   2480.000      1.127    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    37.3590    40.7240     1.000
