# scan = 74
# date = 4/30/2024
# time = 9:39:20 AM
# proposal = 32124
# experiment = Investigation of Spin Waves and Magnetic Interactions in NiTiO3
# experiment_number = 418
# command = scan stl 10 -10 1
# builtin_command = scan stl 10 -10 1
# users = Armando Di Biase, John Schneeloch, Despina Louca, Rathnayaka Mudiyanselage Dilan Srimal Rathnayaka
# local_contact = Tao Hong
# scan_title = alignment on cooling
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Single crystal
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.025711,5.025711,13.808960,90.000000,90.000000,120.000000
# ubmatrix = -0.198607,-0.196602,-0.008468,0.023267,0.023267,-0.071920,0.113150,-0.116599,-0.000074
# mode = 0
# plane_normal = -0.008727,-0.000000,0.999962
# ubconf = UB30Apr2024_91824AM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = stl
# def_y = detector
# col_headers = 
#   Pt.        stl       time   detector    monitor        mcu focal_length         m1         m2       marc     mtrans     mfocus         s1         s2        sgl        sgu        bbb        bbl        bbr        bbt        bab        bal        bar        bat        stu         a1         a2     afocus        qm1        qm2        qm3        qm4        qm5        qm6        qm7        qm8        xm1        xm2        xm3        xm4        xm5        xm6        xm7        xm8          q          h          k          l         ei         ef          e        vti     sample       temp
      1    10.0000      1.000  86427.000   2533.000      1.151    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    35.7201    38.9717     1.000
      2     9.0000      1.000  91111.000   2529.000      1.150    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    35.5916    38.8603     1.000
      3     8.0000      1.000  94885.000   2680.000      1.218    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    35.4845    38.7309     1.000
      4     7.0000      1.000  98571.000   2552.000      1.160    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    35.3761    38.6120     1.000
      5     6.0000      1.000 101703.000   2462.000      1.119    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    35.2630    38.4984     1.000
      6     5.0000      1.000 103672.000   2640.000      1.200    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    35.1530    38.3828     1.000
      7     4.0000      1.000 105470.000   2581.000      1.173    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    35.0139    38.2314     1.000
      8     3.0000      1.000 107789.000   2478.000      1.126    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    34.9030    38.1203     1.000
      9     2.0000      1.000 109380.000   2545.000      1.157    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    34.7900    38.0026     1.000
     10     1.0000      1.000 110824.000   2632.000      1.196    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6425    53.2864     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000     0.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3650    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000    34.6545    37.8606     1.000
