# scan = 77
# date = 4/30/2024
# time = 9:48:20 AM
# proposal = 32124
# experiment = Investigation of Spin Waves and Magnetic Interactions in NiTiO3
# experiment_number = 418
# command = scanrel s1 2 -2 0.2
# builtin_command = scan s1 @(s1)+2 @(s1)+-2 0.200000
# users = Armando Di Biase, John Schneeloch, Despina Louca, Rathnayaka Mudiyanselage Dilan Srimal Rathnayaka
# local_contact = Tao Hong
# scan_title = alignment on cooling
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Single crystal
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.025711,5.025711,13.803923,90.000000,90.000000,120.000000
# ubmatrix = -0.198607,-0.196602,-0.008471,0.023267,0.023267,-0.071946,0.113150,-0.116599,-0.000074
# mode = 0
# plane_normal = -0.008727,-0.000000,0.999962
# ubconf = UB30Apr2024_94802AM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = s1
# def_y = detector
# col_headers = 
#   Pt.         s1       time   detector    monitor        mcu focal_length         m1         m2       marc     mtrans     mfocus         s2        sgl        sgu        bbb        bbl        bbr        bbt        bab        bal        bar        bat        stl        stu         a1         a2     afocus        qm1        qm2        qm3        qm4        qm5        qm6        qm7        qm8        xm1        xm2        xm3        xm4        xm5        xm6        xm7        xm8          q          h          k          l         ei         ef          e        vti     sample       temp
      1   -54.6325      1.000   3792.000   2597.000      1.180    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.3074     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3655     0.0190     0.0190     2.9982     4.8000     4.8000     0.0000     1.6838     2.1192     1.000
      2   -54.8325      1.000   8383.000   2521.000      1.146    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.3074     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3655     0.0171     0.0171     2.9985     4.8000     4.8000     0.0000     1.6835     2.0326     1.000
      3   -55.0325      1.000  14935.000   2494.000      1.134    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.3074     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3655     0.0152     0.0152     2.9988     4.8000     4.8000     0.0000     1.6834     2.0752     1.000
      4   -55.2300      1.000  24849.000   2498.000      1.135    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.3074     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3655     0.0134     0.0134     2.9991     4.8000     4.8000     0.0000     1.6833     2.0557     1.000
      5   -55.4325      1.000  40045.000   2555.000      1.161    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.3074     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3655     0.0114     0.0114     2.9993     4.8000     4.8000     0.0000     1.6831     2.1409     1.000
      6   -55.6325      1.000  59196.000   2557.000      1.162    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.3074     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3655     0.0095     0.0095     2.9995     4.8000     4.8000     0.0000     1.6830     2.1201     1.000
      7   -55.8325      1.000  78230.000   2503.000      1.138    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.3074     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3655     0.0076     0.0076     2.9997     4.8000     4.8000     0.0000     1.6829     2.1289     1.000
      8   -56.0325      1.000  93186.000   2552.000      1.160    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.3074     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3655     0.0057     0.0057     2.9998     4.8000     4.8000     0.0000     1.6829     2.0778     1.000
      9   -56.2300      1.000 101725.000   2492.000      1.133    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.3074     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3655     0.0038     0.0038     2.9999     4.8000     4.8000     0.0000     1.6825     2.0583     1.000
     10   -56.4350      1.000 103671.000   2492.000      1.133    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.3074     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3655     0.0019     0.0019     3.0000     4.8000     4.8000     0.0000     1.6824     2.0711     1.000
     11   -56.6300      1.000 101879.000   2565.000      1.166    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.3074     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3655     0.0000     0.0000     3.0000     4.8000     4.8000     0.0000     1.6825     2.1654     1.000
     12   -56.8350      1.000 100582.000   2551.000      1.160    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.3074     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3655    -0.0019    -0.0019     3.0000     4.8000     4.8000     0.0000     1.6826     2.0899     1.000
     13   -57.0300      1.000 102621.000   2637.000      1.199    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.3074     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3655    -0.0038    -0.0038     2.9999     4.8000     4.8000     0.0000     1.6824     2.0357     1.000
     14   -57.2325      1.000 104174.000   2544.000      1.156    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.3074     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3655    -0.0057    -0.0057     2.9998     4.8000     4.8000     0.0000     1.6819     2.0472     1.000
     15   -57.4325      1.000  97139.000   2508.000      1.140    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.3074     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3655    -0.0076    -0.0076     2.9997     4.8000     4.8000     0.0000     1.6823     2.0584     1.000
     16   -57.6325      1.000  78105.000   2450.000      1.114    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.3074     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3655    -0.0095    -0.0095     2.9995     4.8000     4.8000     0.0000     1.6822     2.0559     1.000
     17   -57.8325      1.000  53900.000   2598.000      1.181    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560    53.3074     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3655    -0.0115    -0.0115     2.9993     4.8000     4.8000     0.0000     1.6821     2.0585     1.000
