# scan = 78
# date = 4/30/2024
# time = 9:49:08 AM
# proposal = 32124
# experiment = Investigation of Spin Waves and Magnetic Interactions in NiTiO3
# experiment_number = 418
# command = scanrel sgu 3 -3 1
# builtin_command = scan sgu @(sgu)+3 @(sgu)+-3 1.000000
# users = Armando Di Biase, John Schneeloch, Despina Louca, Rathnayaka Mudiyanselage Dilan Srimal Rathnayaka
# local_contact = Tao Hong
# scan_title = alignment on cooling
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Single crystal
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.025711,5.025711,13.803923,90.000000,90.000000,120.000000
# ubmatrix = -0.198607,-0.196602,-0.008471,0.023267,0.023267,-0.071946,0.113150,-0.116599,-0.000074
# mode = 0
# plane_normal = -0.008727,-0.000000,0.999962
# ubconf = UB30Apr2024_94802AM.ini
# preset_type = normal 
# preset_channel = time
# preset_value = 1.000000
# def_x = sgu
# def_y = detector
# col_headers = 
#   Pt.        sgu       time   detector    monitor        mcu focal_length         m1         m2       marc     mtrans     mfocus         s1         s2        sgl        bbb        bbl        bbr        bbt        bab        bal        bar        bat        stl        stu         a1         a2     afocus        qm1        qm2        qm3        qm4        qm5        qm6        qm7        qm8        xm1        xm2        xm3        xm4        xm5        xm6        xm7        xm8          q          h          k          l         ei         ef          e        vti     sample       temp
      1     3.0000      1.000  73337.000   2533.000      1.151    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6325    53.3074     0.5000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3655     0.0490    -0.0493     2.9959     4.8000     4.8000     0.0000     1.6815     2.0557     1.000
      2     2.0000      1.000  85518.000   2485.000      1.130    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6325    53.3074     0.5000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3655     0.0326    -0.0329     2.9982     4.8000     4.8000     0.0000     1.6814     2.0375     1.000
      3     1.0000      1.000  96463.000   2499.000      1.136    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6325    53.3074     0.5000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3655     0.0163    -0.0165     2.9995     4.8000     4.8000     0.0000     1.6812     2.0444     1.000
      4     0.0000      1.000 101626.000   2562.000      1.165    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6325    53.3074     0.5000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3655    -0.0000    -0.0000     3.0000     4.8000     4.8000     0.0000     1.6813     2.0136     1.000
      5    -1.0000      1.000  98143.000   2504.000      1.138    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6325    53.3074     0.5000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3655    -0.0163     0.0165     2.9995     4.8000     4.8000     0.0000     1.6811     2.0699     1.000
      6    -2.0000      1.000  86132.000   2460.000      1.118    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6325    53.3074     0.5000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3655    -0.0326     0.0330     2.9982     4.8000     4.8000     0.0000     1.6809     2.0441     1.000
      7    -3.0000      1.000  71512.000   2461.000      1.119    98.4288   142.0306   -75.9387     0.4200    -1.0000    28.2560   -56.6325    53.3074     0.5000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     7.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.3655    -0.0488     0.0495     2.9959     4.8000     4.8000     0.0000     1.6811     2.1179     1.000
# Sum of Counts = 612731
# Center of Mass = 0.004189+/-0.002412
# Full Width Half-Maximum = 3.776631+/-0.004447
# 9:49:46 AM  4/30/2024   scan completed.
