# scan = 95
# date = 4/30/2024
# time = 12:03:19 PM
# proposal = 32124
# experiment = Investigation of Spin Waves and Magnetic Interactions in NiTiO3
# experiment_number = 418
# command = scan h 0.5 k 0.5 l 1.5 e 3 4.5 0.1 preset mcu 60
# builtin_command = scan h 0.5 k 0.5 l 1.5 e 3 4.5 0.1 preset mcu 60
# users = Armando Di Biase, John Schneeloch, Despina Louca, Rathnayaka Mudiyanselage Dilan Srimal Rathnayaka
# local_contact = Tao Hong
# scan_title = magnons, constant-Q, (H,H,1.5)
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Single crystal
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.013468,5.013468,13.803923,90.000000,90.000000,120.000000
# ubmatrix = -0.199159,-0.197149,-0.008262,0.022749,0.022749,-0.071970,0.113426,-0.116885,-0.000072
# mode = 0
# plane_normal = -0.008727,-0.000000,0.999962
# ubconf = UB30Apr2024_100100AM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 60.000000
# def_x = e
# def_y = detector
# col_headers = 
#   Pt.          h          k          l          e       time   detector    monitor        mcu focal_length         m1         m2       marc     mtrans     mfocus         s1         s2        sgl        sgu        bbb        bbl        bbr        bbt        bab        bal        bar        bat        stl        stu         a1         a2     afocus        qm1        qm2        qm3        qm4        qm5        qm6        qm7        qm8        xm1        xm2        xm3        xm4        xm5        xm6        xm7        xm8          q         ei         ef        vti     sample       temp
      1     0.5000     0.5000     1.4998     3.0000     62.367      4.000 132001.000     60.000    77.2241   151.1424   -57.7152     0.4200    -1.0000    33.6560    16.9650    46.7859     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     5.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4272     7.8000     4.8000     1.4988     1.4902     1.000
      2     0.5000     0.5000     1.4998     3.1000     62.568     11.000 132001.000     60.000    76.7343   151.3427   -57.3146     0.4200    -1.0000    33.8160    17.3100    46.4886     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     5.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4272     7.9000     4.8000     1.4987     1.4964     1.000
      3     0.5000     0.5000     1.5000     3.2000     62.948     27.000 132001.000     60.000    76.2507   151.5388   -56.9223     0.4200    -1.0000    33.9760    17.6500    46.1914     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     5.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4272     8.0000     4.8000     1.4987     1.4818     1.000
      4     0.5000     0.5000     1.4998     3.3000     62.895     57.000 132001.000     60.000    75.7731   151.7310   -56.5380     0.4200    -1.0000    34.1360    17.9975    45.8944     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     5.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4272     8.1000     4.8000     1.4987     1.4828     1.000
      5     0.5000     0.5000     1.4998     3.4000     63.601     83.000 132001.000     60.000    75.3132   151.9192   -56.1615     0.4200    -1.0000    34.2920    18.3400    45.5974     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     5.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4272     8.2000     4.8000     1.4987     1.4836     1.000
      6     0.5000     0.5000     1.4999     3.5000     63.599    116.000 132001.000     60.000    74.8588   152.1038   -55.7924     0.4200    -1.0000    34.4480    18.6800    45.3004     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     5.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4272     8.3000     4.8000     1.4986     1.4960     1.000
      7     0.5000     0.5000     1.4999     3.6000     63.953     79.000 132001.000     60.000    74.4099   152.2848   -55.4305     0.4200    -1.0000    34.6040    19.0200    45.0034     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     5.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4272     8.4000     4.8000     1.4985     1.4904     1.000
      8     0.5000     0.5000     1.5000     3.7000     63.806     51.000 132001.000     60.000    73.9777   152.4622   -55.0756     0.4200    -1.0000    34.7560    19.3600    44.7064     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     5.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4272     8.5000     4.8000     1.4986     1.4944     1.000
      9     0.5000     0.5000     1.4999     3.8000     63.914     17.000 132001.000     60.000    73.5392   152.6362   -54.7275     0.4200    -1.0000    34.9120    19.7025    44.4093     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     5.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4272     8.6000     4.8000     1.4987     1.4923     1.000
     10     0.5000     0.5000     1.4998     3.9000     63.982     13.000 132001.000     60.000    73.1170   152.8070   -54.3860     0.4200    -1.0000    35.0640    20.0425    44.1122     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     5.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4272     8.7000     4.8000     1.4986     1.4945     1.000
     11     0.5000     0.5000     1.4999     4.0000     64.259      6.000 132001.000     60.000    72.6996   152.9746   -54.0507     0.4200    -1.0000    35.2160    20.3800    43.8148     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     5.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4272     8.8000     4.8000     1.4986     1.4956     1.000
     12     0.5000     0.5000     1.4999     4.1000     64.761      2.000 132001.000     60.000    72.2870   153.1392   -53.7217     0.4200    -1.0000    35.3680    20.7200    43.5174     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     5.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4272     8.9000     4.8000     1.4986     1.4928     1.000
     13     0.5000     0.5000     1.4998     4.2000     65.709      1.000 132001.000     60.000    71.8896   153.3007   -53.3986     0.4200    -1.0000    35.5160    21.0600    43.2197     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     5.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4272     9.0000     4.8000     1.4985     1.4974     1.000
     14     0.5000     0.5000     1.4999     4.3000     67.149      0.000 132001.000     60.000    71.4966   153.4594   -53.0813     0.4200    -1.0000    35.6640    21.3975    42.9219     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     5.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4272     9.1000     4.8000     1.4985     1.4938     1.000
     15     0.5000     0.5000     1.4998     4.4000     69.311      2.000 132001.000     60.000    71.1079   153.6152   -52.7696     0.4200    -1.0000    35.8120    21.7375    42.6238     0.5000     0.0000     0.0000     0.0000     0.0000     0.0000    20.0000     5.0000     5.0000    16.0000    -3.0000    -2.0000   142.0306   -75.9388     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     1.4272     9.2000     4.8000     1.4985     1.4862     1.000
