# scan = 504
# date = 5/3/2024
# time = 11:37:05 AM
# proposal = 32124
# experiment = Investigation of Spin Waves and Magnetic Interactions in NiTiO3
# experiment_number = 418
# command = scan h 1.4 k 0 l 0 e 2.9 0.1 0.1 preset mcu 60
# builtin_command = scan h 1.4 k 0 l 0 e 2.9 0.1 0.1 preset mcu 60
# users = Armando Di Biase, John Schneeloch, Despina Louca, Rathnayaka Mudiyanselage Dilan Srimal Rathnayaka
# local_contact = Tao Hong
# scan_title = inelastic scans in H0L plane
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Single crystal
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.027293,5.027293,13.803923,90.000000,90.000000,120.000000
# ubmatrix = -0.142605,-0.075642,0.056767,-0.179972,-0.092589,-0.045001,0.005468,-0.196116,-0.000650
# mode = 0
# plane_normal = 0.021815,0.013086,0.999676
# ubconf = UB03May2024_95238AM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 60.000000
# def_x = e
# def_y = detector
# col_headers = 
#   Pt.          h          k          l          e       time   detector    monitor        mcu focal_length         m1         m2       marc     mtrans     mfocus         s1         s2        sgl        sgu        bbb        bbl        bbr        bbt        bab        bal        bar        bat        stl        stu         a1         a2     afocus        qm1        qm2        qm3        qm4        qm5        qm6        qm7        qm8        xm1        xm2        xm3        xm4        xm5        xm6        xm7        xm8          q         ei         ef        vti     sample       temp
      1     1.4000    -0.0000    -0.0001     2.9000     56.100      2.000 132001.000     60.000    85.2506   147.8042   -64.3915     0.4200    -1.0000    31.2960    -1.0850    81.2416    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0204     6.4000     3.5000     1.4897     1.4644     1.000
      2     1.4000     0.0000    -0.0000     2.8000     55.299      2.000 132001.000     60.000    85.9166   147.5186   -64.9628     0.4200    -1.0000    31.1200    -1.1525    81.7887    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0204     6.3000     3.5000     1.4895     1.4598     1.000
      3     1.4000    -0.0000    -0.0001     2.7000     54.150      4.000 132001.000     60.000    86.6085   147.2252   -65.5497     0.4200    -1.0000    30.9400    -1.2150    82.3433    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0204     6.2000     3.5000     1.4898     1.4672     1.000
      4     1.4000    -0.0000     0.0000     2.6000     53.016      4.000 132001.000     60.000    87.3274   146.9235   -66.1530     0.4200    -1.0000    30.7560    -1.2775    82.9056    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0204     6.1000     3.5000     1.4897     1.4633     1.000
      5     1.4000    -0.0000    -0.0001     2.5000     52.705      2.000 132001.000     60.000    88.0424   146.6133   -66.7735     0.4200    -1.0000    30.5760    -1.3325    83.4760    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0204     6.0000     3.5000     1.4900     1.4599     1.000
      6     1.4000    -0.0000    -0.0001     2.4000     52.808      2.000 132001.000     60.000    88.7854   146.2940   -67.4120     0.4200    -1.0000    30.3920    -1.3850    84.0550    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0204     5.9000     3.5000     1.4898     1.4648     1.000
      7     1.4000     0.0000     0.0000     2.3000     53.623      2.000 132001.000     60.000    89.5577   145.9653   -68.0694     0.4200    -1.0000    30.2040    -1.4350    84.6427    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0204     5.8000     3.5000     1.4900     1.4643     1.000
      8     1.4000    -0.0000    -0.0001     2.2000     54.678      2.000 132001.000     60.000    90.3266   145.6266   -68.7467     0.4200    -1.0000    30.0200    -1.4775    85.2397    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0204     5.7000     3.5000     1.4901     1.4627     1.000
      9     1.4000    -0.0000     0.0001     2.1000     55.967      3.000 132001.000     60.000    91.1432   145.2776   -69.4449     0.4200    -1.0000    29.8280    -1.5200    85.8464    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0204     5.6000     3.5000     1.4902     1.4669     1.000
     10     1.4000    -0.0000    -0.0000     2.0000     56.241      1.000 132001.000     60.000    91.9572   144.9174   -70.1652     0.4200    -1.0000    29.6400    -1.5525    86.4632    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     2.0204     5.5000     3.5000     1.4904     1.4617     1.000
