# scan = 514
# date = 5/3/2024
# time = 7:30:30 PM
# proposal = 32124
# experiment = Investigation of Spin Waves and Magnetic Interactions in NiTiO3
# experiment_number = 418
# command = scan h 0.5 k 0 l 1.5 e 0.1 4 0.1 preset mcu 60
# builtin_command = scan h 0.5 k 0 l 1.5 e 0.1 4 0.1 preset mcu 60
# users = Armando Di Biase, John Schneeloch, Despina Louca, Rathnayaka Mudiyanselage Dilan Srimal Rathnayaka
# local_contact = Tao Hong
# scan_title = inelastic scans in H0L plane
# monochromator = PG002
# analyzer = Pg002
# sense = -+-
# collimation = 48-40-40-120
# samplename = Single crystal
# sampletype = crystal
# samplemosaic = 30.000000
# latticeconstants = 5.027293,5.027293,13.803923,90.000000,90.000000,120.000000
# ubmatrix = -0.142605,-0.075642,0.056767,-0.179972,-0.092589,-0.045001,0.005468,-0.196116,-0.000650
# mode = 0
# plane_normal = 0.021815,0.013086,0.999676
# ubconf = UB03May2024_95238AM.ini
# preset_type = normal 
# preset_channel = mcu
# preset_value = 60.000000
# def_x = e
# def_y = detector
# col_headers = 
#   Pt.          h          k          l          e       time   detector    monitor        mcu focal_length         m1         m2       marc     mtrans     mfocus         s1         s2        sgl        sgu        bbb        bbl        bbr        bbt        bab        bal        bar        bat        stl        stu         a1         a2     afocus        qm1        qm2        qm3        qm4        qm5        qm6        qm7        qm8        xm1        xm2        xm3        xm4        xm5        xm6        xm7        xm8          q         ei         ef        vti     sample       temp
      1     0.5000     0.0000     1.5000     0.1000     54.810     86.000 132001.000     60.000   113.6641   134.7310   -90.5379     0.4200    -1.0000    25.6200   -71.7450    44.5970    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.9934     3.6000     3.5000     1.4855     1.4605     1.000
      2     0.5000    -0.0000     1.5000     0.2000     67.134      7.000 132001.000     60.000   112.1105   135.5126   -88.9748     0.4200    -1.0000    25.8560   -70.9425    44.2528    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.9934     3.7000     3.5000     1.4854     1.4587     1.000
      3     0.5000    -0.0000     1.5000     0.3000     69.155      2.000 132001.000     60.000   110.6241   136.2534   -87.4932     0.4200    -1.0000    26.0880   -70.1525    43.9050    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.9934     3.8000     3.5000     1.4855     1.4589     1.000
      4     0.5000     0.0000     1.5000     0.4000     58.503      4.000 132001.000     60.000   109.2012   136.9570   -86.0861     0.4200    -1.0000    26.3160   -69.3775    43.5538    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.9934     3.9000     3.5000     1.4854     1.4633     1.000
      5     0.5000    -0.0000     1.5000     0.5000     56.737      2.000 132001.000     60.000   107.8384   137.6264   -84.7472     0.4200    -1.0000    26.5400   -68.6075    43.1996    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.9934     4.0000     3.5000     1.4854     1.4622     1.000
      6     0.5000     0.0000     1.5000     0.6000     55.127      1.000 132001.000     60.000   106.5093   138.2646   -83.4709     0.4200    -1.0000    26.7640   -67.8500    42.8423    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.9934     4.1000     3.5000     1.4854     1.4609     1.000
      7     0.5000    -0.0000     1.5000     0.7000     54.226      0.000 132001.000     60.000   105.2354   138.8738   -82.2523     0.4200    -1.0000    26.9840   -67.1025    42.4822    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.9934     4.2000     3.5000     1.4854     1.4571     1.000
      8     0.5000    -0.0000     1.5000     0.8000      0.000      0.000      0.000     60.000   104.0140   139.4564   -81.0872     0.4200    -1.0000    27.2000   -66.3600    42.1193    -1.2500     0.7500     0.0000     0.0000     0.0000     0.0000    15.0000     5.0000     9.0000    22.0000    -4.0000    -3.0000   133.9046   -92.1908     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.0000     0.9934     4.3000     3.5000     1.4853     1.4593     1.000
# Sum of Counts = 102
# Center of Mass = 0.135294+/-0.021225
