location, completed, command, scan_title, scan_number, samplename
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0001.dat, 2024-01-26T13:11:07-05:00, scan 2theta 5 8 0.1 preset time 10, CoTiO3, m1=0, coll=80 [IN=80, OUT=0], T = @(temp) K ---QUICK CHECK, 1, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0002.dat, 2024-01-26T14:17:34-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = @(temp) K, 2, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0003.dat, 2024-01-26T15:31:00-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 400 K, 3, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0004.dat, 2024-01-26T16:44:26-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 500 K, 4, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0005.dat, 2024-01-26T17:58:52-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 600 K, 5, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0006.dat, 2024-01-26T19:34:18-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 700 K, 6, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0007.dat, 2024-01-26T21:42:52-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 500 K, 7, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0008.dat, 2024-01-27T01:21:05-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 295 K, 8, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0009.dat, 2024-01-27T03:35:34-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 100 K, 9, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0010.dat, 2024-01-27T05:16:02-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 50 K, 10, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0011.dat, 2024-01-27T06:26:29-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 40 K, 11, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0012.dat, 2024-01-27T07:36:57-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 30 K, 12, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0013.dat, 2024-01-27T08:46:24-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 25 K, 13, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0014.dat, 2024-01-27T09:59:15-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 15 K, 14, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0015.dat, 2024-01-27T11:03:45-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 5 K, 15, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0016.dat, 2024-01-27T12:08:16-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 25 K, 16, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0017.dat, 2024-01-27T13:12:49-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 30 K, 17, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0018.dat, 2024-01-27T14:17:24-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 50 K, 18, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0019.dat, 2024-01-27T15:23:01-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 100 K, 19, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0020.dat, 2024-01-27T16:59:18-05:00, scan 2theta 5 8 0.1 preset time 10, CoTiNiO3, m1=0 [0=1.54A, 9.45=2.41A],  coll=0.001172 [IN=80, OUT=0], T = 295 K -- TEST, 20, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0021.dat, 2024-01-27T17:59:15-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoNiTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 295 K, 21, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0022.dat, 2024-01-27T19:18:26-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoNiTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 400 K, 22, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0023.dat, 2024-01-27T20:33:10-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoNiTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 500 K, 23, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0024.dat, 2024-01-27T21:44:12-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoNiTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 600 K, 24, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0025.dat, 2024-01-27T23:06:29-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoNiTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 700 K, 25, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0026.dat, 2024-01-28T00:48:19-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoNiTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 500 K, 26, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0027.dat, 2024-01-28T04:29:12-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoNiTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 295 K, 27, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0028.dat, 2024-01-28T05:52:03-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoNiTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 200 K, 28, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0029.dat, 2024-01-28T07:45:30-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoNiTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 100 K, 29, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0030.dat, 2024-01-28T09:15:30-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoNiTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 50 K, 30, CoTiO3 and Ni doped
/HFIR/HB2A/IPTS-31669/exp942/Datafiles/HB2A_exp0942_scan0031.dat, 2024-01-28T10:20:29-05:00, scan 2theta 6 11.6 0.05 preset time 30, CoNiTiO3, m1=0 [0=1.54A, 9.45=2.41A], coll=80 [IN=80, OUT=0], T = 30 K, 31, CoTiO3 and Ni doped
