RUN#, IPTS#, ITEM#, Duration (s), Proton Charge (picoCoulombs), File size, Title, Date
62683, IPTS-31947, 89895, 1575.74, 1.27963e+12,  5.2G, Temperature Adjustment to 5K, 2023-07-28-16:27:16
62684, IPTS-31947, 89895, 2719.91, 2.20634e+12,  5.1G, NiTiO3_10mm_V_can_slits_10x50 at 5K for 1hr, 2023-07-28-17:12:36
62685, IPTS-31947, 89895, 165.201, 1.34077e+11,  5.1G, Temperature Adjustment to 10K, 2023-07-28-17:15:22
62686, IPTS-31947, 89895, 2743.56,  2.2053e+12,  5.1G, NiTiO3_10mm_V_can_slits_10x50 at 10K for 1hr, 2023-07-28-18:01:05
62687, IPTS-31947, 89895, 102.217, 8.29375e+10,  5.1G, Temperature Adjustment to 15K, 2023-07-28-18:02:47
62688, IPTS-31947, 89895, 2715.36, 2.20628e+12,  5.1G, NiTiO3_10mm_V_can_slits_10x50 at 15K for 1hr, 2023-07-28-18:48:03
62689, IPTS-31947, 89895,  67.517, 5.47664e+10,  5.1G, Temperature Adjustment to 19K, 2023-07-28-18:49:10
62690, IPTS-31947, 89895, 3956.37, 2.20352e+12,  5.1G, NiTiO3_10mm_V_can_slits_10x50 at 19K for 1hr, 2023-07-28-19:55:07
62691, IPTS-31947, 89895, 17.5668, 1.42412e+10,  5.1G, Temperature Adjustment to 20K, 2023-07-28-19:55:24
62692, IPTS-31947, 89895,  2718.4, 2.20624e+12,  5.1G, NiTiO3_10mm_V_can_slits_10x50 at 20K for 1hr, 2023-07-28-20:40:43
62693, IPTS-31947, 89895, 17.5668, 1.42565e+10,  5.1G, Temperature Adjustment to 21K, 2023-07-28-20:41:00
62694, IPTS-31947, 89895, 2716.63,  2.2062e+12,  5.1G, NiTiO3_10mm_V_can_slits_10x50 at 21K for 1hr, 2023-07-28-21:26:17
62695, IPTS-31947, 89895, 18.2834, 1.48697e+10,  5.1G, Temperature Adjustment to 22K, 2023-07-28-21:26:35
62696, IPTS-31947, 89895, 2743.65, 2.20525e+12,  5.1G, NiTiO3_10mm_V_can_slits_10x50 at 22K for 1hr, 2023-07-28-22:12:19
62697, IPTS-31947, 89895, 19.3168, 1.56379e+10,  5.1G, Temperature Adjustment to 23K, 2023-07-28-22:12:38
62698, IPTS-31947, 89895, 2742.71, 2.20527e+12,  5.1G, NiTiO3_10mm_V_can_slits_10x50 at 23K for 1hr, 2023-07-28-22:58:21
62699, IPTS-31947, 89895, 20.4001, 1.65957e+10,  5.1G, Temperature Adjustment to 24K, 2023-07-28-22:58:42
62700, IPTS-31947, 89895, 2762.45, 2.20445e+12,  5.1G, NiTiO3_10mm_V_can_slits_10x50 at 24K for 1hr, 2023-07-28-23:44:44
62701, IPTS-31947, 89895, 20.3001, 1.64643e+10,  5.1G, Temperature Adjustment to 25K, 2023-07-28-23:45:04
62702, IPTS-31947, 89895, 2724.45,  2.2062e+12,  5.1G, NiTiO3_10mm_V_can_slits_10x50 at 25K for 1hr, 2023-07-29-00:30:29
62703, IPTS-31947, 89895, 14.4834, 1.17204e+10,  5.1G, Temperature Adjustment to 30K, 2023-07-29-00:30:43
62704, IPTS-31947, 89895, 2765.75, 2.20469e+12,  5.1G, NiTiO3_10mm_V_can_slits_10x50 at 30K for 1hr, 2023-07-29-01:16:49
62705, IPTS-31947, 89895, 24.1668, 1.96195e+10,  5.1G, Temperature Adjustment to 40K, 2023-07-29-01:17:13
62706, IPTS-31947, 89895, 2721.61, 2.20621e+12,  5.1G, NiTiO3_10mm_V_can_slits_10x50 at 40K for 1hr, 2023-07-29-02:02:35
62707, IPTS-31947, 89895, 30.3168, 2.44761e+10,  5.1G, Temperature Adjustment to 50K, 2023-07-29-02:03:05
62708, IPTS-31947, 89895, 2718.31, 2.20632e+12,  5.1G, NiTiO3_10mm_V_can_slits_10x50 at 50K for 1hr, 2023-07-29-02:48:24
62709, IPTS-31947, 89895, 36.6502, 2.97879e+10,  5.1G, Temperature Adjustment to 60K, 2023-07-29-02:49:00
62710, IPTS-31947, 89895, 3802.64, 2.21044e+12,  5.1G, NiTiO3_10mm_V_can_slits_10x50 at 60K for 1hr, 2023-07-29-03:52:23
62711, IPTS-31947, 89895, 46.3003, 3.76378e+10,  5.1G, Temperature Adjustment to 70K, 2023-07-29-03:53:09
62712, IPTS-31947, 89895, 2719.01, 2.20613e+12,  5.1G, NiTiO3_10mm_V_can_slits_10x50 at 70K for 1hr, 2023-07-29-04:38:28
62713, IPTS-31947, 89895, 56.9336, 4.62061e+10,  5.1G, Temperature Adjustment to 80K, 2023-07-29-04:39:25
62714, IPTS-31947, 89895, 2723.06, 2.20649e+12,  5.1G, NiTiO3_10mm_V_can_slits_10x50 at 80K for 1hr, 2023-07-29-05:24:48
62715, IPTS-31947, 89895, 65.9004, 5.34241e+10,  5.1G, Temperature Adjustment to 90K, 2023-07-29-05:25:54
62716, IPTS-31947, 89895,  2723.8, 2.20623e+12,  5.1G, NiTiO3_10mm_V_can_slits_10x50 at 90K for 1hr, 2023-07-29-06:11:18
62717, IPTS-31947, 89895, 74.1837, 6.03431e+10,  5.1G, Temperature Adjustment to 100K, 2023-07-29-06:12:32
62718, IPTS-31947, 89895, 2717.53, 2.20623e+12,  5.1G, NiTiO3_10mm_V_can_slits_10x50 at 100K for 1hr, 2023-07-29-06:57:50
62719, IPTS-31947, 89895, 824.371,  6.6898e+11,  5.1G, Temperature Adjustment to 150K, 2023-07-29-07:11:34
62720, IPTS-31947, 89895, 2743.38, 2.20526e+12,  5.1G, NiTiO3_10mm_V_can_slits_10x50 at 150K for 1hr, 2023-07-29-07:57:18
62721, IPTS-31947, 89895, 1187.54, 9.60145e+11,  5.2G, Temperature Adjustment to 200K, 2023-07-29-08:17:05
62722, IPTS-31947, 89895,  2726.2, 2.20652e+12,  5.1G, NiTiO3_10mm_V_can_slits_10x50 at 200K for 1hr, 2023-07-29-09:02:32
62723, IPTS-31947, 89895, 352.035, 2.85101e+11,  5.1G, Temperature Adjustment to 250K, 2023-07-29-09:08:24
62728, IPTS-31947, 89895, 0.333335,  2.7001e+08,  5.1G, Temperature Adjustment to 250K, 2023-07-29-10:39:54
62729, IPTS-31947, 89895, 2719.61, 2.20634e+12,  5.1G, NiTiO3_10mm_V_can_slits_10x50 at 250K for 1hr, 2023-07-29-11:25:14
62730, IPTS-31947, 89895, 671.987, 5.44736e+11,  5.1G, Temperature Adjustment to 300K, 2023-07-29-11:36:26
